"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Lawrie  3B","5","0","2","1","0","0","5",".292",".341",".427",".768","21","15","0.173","1.92","0.264","-0.091","0.5","0","1",""
"Colby Rasmus  CF","5","1","1","0","0","2","5",".262",".319",".486",".805","17","17","-0.075","2.29","0.154","-0.230","-0.5","2","0","SB"
"Jose Bautista  RF-1B","4","1","1","3","1","0","5",".237",".355",".550",".906","28","15","0.293","2.28","0.477","-0.183","2.1","4","0","HR"
"Edwin Encarnacion  DH","4","2","1","0","1","0","5",".285",".360",".574",".934","27","16","-0.311","2.39","0.088","-0.399","-1.2","","","GDP"
"Kelly Johnson  2B","4","0","1","0","0","0","4",".242",".323",".370",".693","12","9","-0.003","1.61","0.116","-0.119","0.4","4","3","2B"
"Yunel Escobar  SS","4","0","1","1","0","1","4",".248",".299",".323",".622","11","8","-0.029","1.60","0.080","-0.109","-0.0","1","3",""
"Rajai Davis  LF-RF","3","0","1","1","0","1","4",".274",".327",".425",".752","18","11","0.006","1.65","0.066","-0.060","-0.3","1","0","SB,SF"
"Adam Lind  1B","3","0","0","0","0","1","3",".190",".271",".310",".581","8","6","-0.080","0.96","0.000","-0.080","-0.7","4","0",""
"J.P. Arencibia  PH","1","0","0","0","0","1","1",".222",".260",".403",".662","5","3","-0.099","3.49","0.000","-0.099","-0.3","","",""
"Ben Francisco  LF","0","0","0","0","0","0","0",".250",".302",".350",".652","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jeff Mathis  C","4","3","4","1","0","0","4",".234",".290",".484",".774","8","7","0.359","1.41","0.359","0.000","2.4","11","1","HR,2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Brett Cecil  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jason Frasor  P","","","","","","","","","","","","","","","","","","","0","0",""
"Francisco Cordero  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darren Oliver  P","","","","","","","","","","","","","","","","","","","0","0",""
"Casey Janssen  P","","","","","","","","","","","","","","","","","","","0","0",""
