"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nate McLouth  LF","4","2","1","0","1","0","5",".313",".411",".490",".900","14","7","0.085","0.83","0.122","-0.037","0.5","2","0","2B,SB"
"Manny Machado  3B","4","2","1","2","1","1","5",".309",".352",".522",".874","21","12","0.253","0.99","0.311","-0.059","1.5","1","5","HR"
"Nick Markakis  RF","3","0","0","0","2","0","5",".271",".322",".368",".690","26","11","-0.060","0.77","0.026","-0.085","-0.6","1","0","CS"
"Adam Jones  CF","4","1","1","1","1","1","5",".331",".360",".519",".879","23","13","0.088","1.04","0.164","-0.077","0.6","1","0","2B,SB"
"Chris Davis  1B","4","1","1","1","0","2","4",".327",".425",".673","1.098","16","10","0.018","1.32","0.111","-0.093","0.0","10","2",""
"Matt Wieters  C","4","1","1","0","0","1","4",".223",".293",".379",".672","15","12","-0.069","0.87","0.010","-0.079","-0.5","7","0",""
"J.J. Hardy  SS","4","1","2","2","0","0","4",".210",".244",".363",".607","10","9","0.246","0.80","0.257","-0.011","2.3","2","4","HR"
"Ryan Flaherty  2B","4","0","1","2","0","1","4",".125",".213",".208",".421","19","12","0.019","1.00","0.083","-0.064","1.1","1","3",""
"Nolan Reimold  DH","4","0","0","0","0","2","4",".200",".275",".356",".630","25","15","-0.075","0.74","0.000","-0.075","-1.0","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jason Hammel  P","","","","","","","","","","","","","","","","","","","0","1",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Pedro Strop  P","","","","","","","","","","","","","","","","","","","0","1",""
"Troy Patton  P","","","","","","","","","","","","","","","","","","","1","0",""
"Darren O'Day  P","","","","","","","","","","","","","","","","","","","1","0",""
