"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nate McLouth  LF","5","0","0","0","0","2","5",".276",".348",".401",".748","21","14","-0.124","0.96","0.000","-0.124","-1.8","3","0",""
"Manny Machado  3B","5","0","0","0","0","2","5",".311",".338",".472",".810","16","11","-0.080","0.63","0.000","-0.080","-1.2","1","3",""
"Nick Markakis  RF","4","0","1","0","0","1","4",".286",".334",".397",".731","14","8","-0.012","0.48","0.022","-0.034","0.1","1","0",""
"Adam Jones  CF","2","1","1","1","2","1","4",".293",".320",".492",".813","20","10","0.200","1.13","0.224","-0.025","1.4","3","0","HR"
"Chris Davis  1B","3","2","1","1","0","1","4",".313",".391",".708","1.099","21","14","0.009","1.60","0.145","-0.137","0.3","10","1","HR,CS,HBP"
"J.J. Hardy  SS","4","0","1","0","0","1","4",".251",".293",".430",".723","14","10","-0.087","1.37","0.028","-0.115","-0.8","3","3",""
"Matt Wieters  C","3","0","0","0","1","1","4",".231",".291",".410",".702","11","6","-0.062","0.97","0.022","-0.084","-0.4","3","3",""
"Brian Roberts  2B","3","0","2","1","1","1","4",".245",".293",".415",".708","15","7","0.175","0.84","0.196","-0.021","1.4","3","7","2·2B"
"Nolan Reimold  DH","3","0","0","0","0","3","3",".195",".250",".336",".586","13","9","-0.106","1.31","0.000","-0.106","-1.1","","",""
"Ryan Flaherty  PH","1","0","1","0","0","0","1",".217",".277",".350",".627","5","3","0.029","0.50","0.029","0.000","0.7","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jason Hammel  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jairo Asencio  P","","","","","","","","","","","","","","","","","","","0","0",""
"Troy Patton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darren O'Day  P","","","","","","","","","","","","","","","","","","","0","0",""
"T.J. McFarland  P","","","","","","","","","","","","","","","","","","","0","0",""
