"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nick Markakis  RF","4","1","3","0","0","0","4",".288",".335",".409",".745","16","12","0.042","0.64","0.064","-0.022","0.5","4","0",""
"Manny Machado  3B","3","0","1","0","1","0","4",".321",".352",".488",".839","13","8","0.033","0.96","0.080","-0.047","0.6","1","3",""
"J.J. Hardy  SS","4","0","0","0","0","0","4",".263",".300",".450",".750","15","10","-0.168","1.34","0.000","-0.168","-2.0","1","2","GDP"
"Adam Jones  CF","4","0","1","1","0","1","4",".291",".314",".483",".797","17","12","-0.068","0.98","0.022","-0.090","0.0","2","0",""
"Chris Davis  1B","3","0","0","0","1","0","4",".329",".405",".721","1.126","11","7","-0.032","0.70","0.026","-0.058","-0.3","7","0",""
"Matt Wieters  C","4","0","0","0","0","1","4",".229",".286",".400",".686","12","9","-0.109","1.09","0.000","-0.109","-0.9","8","0",""
"Danny Valencia  DH","3","0","0","0","0","1","3",".230",".277",".508",".785","9","7","-0.066","0.84","0.000","-0.066","-0.5","","",""
"Chris Dickerson  PH","1","0","0","0","0","0","1",".272",".295",".457",".751","2","1","-0.010","0.40","0.000","-0.010","-0.2","","",""
"Nolan Reimold  LF","3","0","1","0","0","1","3",".192",".259",".327",".586","12","8","-0.031","0.99","0.025","-0.056","-0.3","1","0",""
"Nate McLouth  PH","1","0","1","0","0","0","1",".285",".360",".416",".776","5","4","0.009","0.14","0.009","0.000","0.2","","","2B"
"Brian Roberts  2B","4","1","1","1","0","1","4",".389",".368",".611",".980","9","7","0.037","0.91","0.117","-0.080","0.3","0","4","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Jason Hammel  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Gausman  P","","","","","","","","","","","","","","","","","","","0","0",""
