"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nate McLouth  LF","4","1","2","1","0","0","5",".301",".370",".435",".806","19","14","0.045","0.65","0.088","-0.043","0.6","2","0","2B,SF"
"Manny Machado  3B","5","0","1","1","0","1","5",".323",".358",".500",".858","15","11","0.020","0.69","0.055","-0.035","0.2","0","2",""
"J.J. Hardy  SS","5","1","2","2","0","0","5",".253",".292",".472",".764","25","17","-0.039","0.85","0.074","-0.112","-0.2","2","4","HR,GDP"
"Adam Jones  CF","5","0","1","0","0","1","5",".305",".332",".506",".838","15","11","-0.041","0.35","0.001","-0.042","-0.6","1","1",""
"Chris Davis  1B","5","1","2","0","0","1","5",".356",".436",".740","1.177","18","14","-0.044","0.39","0.006","-0.050","0.2","7","1","2B"
"Matt Wieters  C","4","1","2","2","1","0","5",".237",".298",".433",".731","18","11","-0.015","0.29","0.015","-0.030","1.4","9","1","HR"
"Danny Valencia  DH","4","1","1","0","1","2","5",".250",".294",".625",".919","27","14","0.030","0.29","0.047","-0.017","-0.3","","","2B"
"Steve Pearce  RF","4","1","1","0","0","3","4",".221",".312",".397",".709","15","11","-0.042","0.45","0.003","-0.045","-0.6","1","0",""
"Alexi Casilla  2B","2","1","1","1","2","0","4",".203",".257",".281",".538","18","9","0.031","0.34","0.033","-0.002","1.9","1","0","3B"
"","","","","","","","","","","","","","","","","","","","","",""
"Freddy Garcia  P","","","","","","","","","","","","","","","","","","","1","0",""
"Steve Johnson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Troy Patton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","0","0",""
