"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nate McLouth  LF","5","0","0","0","0","1","5",".288",".378",".441",".818","18","10","-0.123","1.19","0.000","-0.123","-1.3","2","0",""
"Manny Machado  3B","5","1","3","1","0","0","5",".323",".363",".513",".876","17","11","0.156","1.10","0.183","-0.028","1.1","0","3","2B"
"Nick Markakis  RF","5","1","2","1","0","0","5",".283",".337",".382",".719","17","10","0.014","1.41","0.168","-0.153","0.5","1","0","GDP"
"Adam Jones  CF","5","1","1","0","0","2","5",".323",".352",".490",".842","16","11","-0.037","1.06","0.075","-0.112","-0.3","2","0","2B"
"Chris Davis  1B","4","0","1","1","0","0","4",".315",".409",".653","1.063","12","10","-0.009","1.36","0.065","-0.074","0.1","9","0",""
"Matt Wieters  C","2","1","2","2","1","0","4",".248",".314",".430",".744","18","9","0.146","1.23","0.147","-0.001","1.1","6","0","HR,SF,IW"
"J.J. Hardy  SS","4","0","1","0","0","0","4",".217",".252",".378",".629","12","8","-0.111","1.39","0.019","-0.130","-1.0","1","3",""
"Ryan Flaherty  2B","2","1","1","0","0","0","3",".131",".223",".202",".426","12","8","0.070","0.84","0.080","-0.009","0.6","3","3","HBP"
"Alexi Casilla  PH-2B","1","0","0","0","0","0","1",".231",".268",".282",".550","6","3","-0.022","0.86","0.000","-0.022","-0.2","0","0",""
"Nolan Reimold  DH","4","0","1","0","0","0","4",".188",".257",".327",".583","22","13","0.032","1.10","0.085","-0.053","-0.1","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Steve Johnson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Troy Patton  P","","","","","","","","","","","","","","","","","","","0","1",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Pedro Strop  P","","","","","","","","","","","","","","","","","","","0","0",""
