"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nate McLouth  LF","5","1","3","0","0","1","5",".294",".385",".382",".767","14","11","0.083","0.50","0.104","-0.021","0.9","3","0","2·2B"
"Manny Machado  3B","4","0","1","0","0","1","5",".277",".320",".383",".703","15","9","-0.057","0.65","0.000","-0.057","-1.0","0","3","SH"
"Nick Markakis  RF","3","1","1","1","1","1","4",".298",".353",".468",".821","15","7","0.087","0.94","0.137","-0.050","0.4","0","0","HR"
"Adam Jones  CF","4","1","2","1","0","1","4",".426",".438",".596","1.033","15","10","0.013","0.98","0.046","-0.033","-0.1","3","0",""
"Chris Davis  1B","3","0","1","0","1","1","4",".405",".500","1.000","1.500","9","5","0.098","0.72","0.117","-0.019","1.0","12","1","2B"
"Matt Wieters  C","4","0","0","0","0","1","4",".189",".302",".297",".600","13","10","-0.107","0.91","0.000","-0.107","-1.4","5","0",""
"J.J. Hardy  SS","4","0","1","1","0","0","4",".209",".261",".419",".679","13","7","-0.007","0.72","0.019","-0.026","-0.1","1","3",""
"Ryan Flaherty  2B","3","1","1","1","0","0","4",".095",".136",".238",".374","12","9","0.072","0.62","0.126","-0.054","0.7","2","2","HR,HBP,GDP"
"Alexi Casilla  2B","0","0","0","0","0","0","0",".273",".333",".364",".697","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Nolan Reimold  DH","4","1","1","1","0","1","4",".222",".323",".333",".656","20","14","0.051","0.52","0.085","-0.034","0.3","","","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Jason Hammel  P","","","","","","","","","","","","","","","","","","","1","1",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darren O'Day  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jim Johnson  P","","","","","","","","","","","","","","","","","","","0","1",""
