"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","4","0","2","0","0","0","4",".276",".345",".378",".724","16","8","-0.002","0.64","0.034","-0.036","0.1","1","0",""
"Jose Iglesias  2B","4","0","1","0","0","0","4",".438",".485",".562","1.047","14","10","-0.002","0.97","0.061","-0.063","0.2","1","2",""
"Daniel Nava  RF-1B","4","0","0","0","0","0","4",".288",".383",".459",".843","18","13","-0.092","0.99","0.000","-0.092","-1.1","2","0",""
"David Ortiz  DH","4","0","0","0","0","0","4",".299",".382",".599",".981","11","7","-0.086","0.84","0.000","-0.086","-1.2","","",""
"Jonny Gomes  LF","4","0","0","0","0","1","4",".208",".329",".352",".681","10","8","-0.052","0.49","0.000","-0.052","-0.7","2","0",""
"Mike Carp  1B","2","0","1","0","1","1","3",".324",".379",".686","1.065","13","6","0.042","0.51","0.053","-0.011","0.7","3","1","2B"
"Shane Victorino  PR-RF","1","1","0","0","0","0","1",".277",".335",".348",".684","2","2","-0.019","0.75","0.000","-0.019","-0.2","1","0",""
"Jarrod Saltalamacchia  C","3","1","1","0","1","0","4",".271",".335",".489",".824","22","12","0.014","0.85","0.060","-0.047","0.4","11","0",""
"Will Middlebrooks  3B","4","1","1","3","0","0","4",".199",".232",".403",".635","16","9","0.001","0.96","0.092","-0.091","1.1","1","3","HR,GDP"
"Stephen Drew  SS","3","0","0","0","0","0","3",".215",".305",".374",".679","8","7","-0.065","0.88","0.000","-0.065","-0.7","1","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jon Lester  P","","","","","","","","","","","","","","","","","","","1","0",""
"Pedro Beato  P","","","","","","","","","","","","","","","","","","","0","0",""
"Junichi Tazawa  P","","","","","","","","","","","","","","","","","","","0","0",""
"Andrew Miller  P","","","","","","","","","","","","","","","","","","","0","0",""
