"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","5","1","1","2","0","1","5",".283",".327",".425",".752","19","14","0.077","1.09","0.141","-0.064","0.1","1","0",""
"Daniel Nava  RF","5","1","2","1","0","1","5",".299",".402",".522",".925","24","16","0.020","0.79","0.072","-0.052","1.0","1","0","2B"
"Dustin Pedroia  2B","3","0","2","1","2","0","5",".330",".435",".385",".820","19","9","0.050","0.68","0.056","-0.006","1.5","0","0","SB"
"David Ortiz  DH","3","0","2","3","1","0","5",".519",".533",".889","1.422","16","8","0.231","1.06","0.234","-0.003","2.1","","","2B,SF"
"Mike Napoli  1B","4","0","1","0","1","1","5",".281",".337",".563",".899","24","11","-0.065","0.80","0.014","-0.079","-1.4","10","0",""
"Mike Carp  LF","3","0","0","0","0","2","3",".421",".450",".842","1.292","13","9","-0.085","1.11","0.000","-0.085","-1.2","0","0",""
"Jonny Gomes  PH-LF","2","0","0","0","0","1","2",".179",".347",".231",".578","8","6","-0.011","0.22","0.000","-0.011","-0.4","1","0",""
"Jarrod Saltalamacchia  C","4","2","1","0","1","2","5",".238",".314",".460",".775","25","14","0.022","0.39","0.047","-0.025","0.1","12","1","2B"
"Will Middlebrooks  3B","3","2","2","0","1","0","4",".200",".232",".444",".676","19","10","0.097","0.64","0.109","-0.011","1.2","1","5","2B"
"Stephen Drew  SS","2","2","1","1","2","0","4",".136",".269",".205",".474","16","8","0.065","0.85","0.072","-0.007","1.1","1","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Felix Doubront  P","","","","","","","","","","","","","","","","","","","0","1",""
"Junichi Tazawa  P","","","","","","","","","","","","","","","","","","","0","0",""
"Daniel Bard  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alex Wilson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Andrew Miller  P","","","","","","","","","","","","","","","","","","","0","0",""
