"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","5","0","0","0","0","2","5",".298",".360",".433",".793","24","16","-0.272","2.01","0.000","-0.272","-2.0","1","0",""
"Shane Victorino  RF","4","0","1","0","0","1","4",".294",".341",".425",".766","13","8","-0.133","1.74","0.024","-0.158","-1.0","3","0",""
"Mike Napoli  1B","1","0","0","0","0","0","1",".250",".340",".443",".783","4","2","-0.038","1.55","0.000","-0.038","-0.2","1","0",""
"Dustin Pedroia  2B","4","1","1","0","1","0","5",".295",".375",".412",".787","20","9","-0.020","0.91","0.057","-0.076","-0.1","0","0",""
"David Ortiz  DH","5","0","4","0","0","0","5",".332",".412",".587",".999","20","13","0.273","1.39","0.287","-0.014","1.7","","",""
"Drake Britton  PR","0","1","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","","",""
"Mike Carp  1B-LF","5","1","1","0","0","0","5",".302",".361",".562",".923","22","13","-0.292","2.19","0.012","-0.304","-2.0","5","1","2·GDP"
"Jonny Gomes  LF-RF","2","3","1","2","3","1","5",".239",".341",".441",".783","22","9","0.367","1.68","0.394","-0.027","3.0","3","0","HR"
"Stephen Drew  SS","4","1","2","3","1","1","5",".249",".339",".439",".779","22","12","0.653","2.21","0.707","-0.054","2.3","1","4","HR"
"Jarrod Saltalamacchia  C","4","0","2","0","1","1","5",".264",".335",".449",".784","20","13","0.062","1.25","0.144","-0.081","0.5","12","0","2B"
"Brock Holt  3B","1","0","0","1","2","0","3",".231",".295",".269",".564","17","6","0.116","1.84","0.116","0.000","0.8","0","0",""
"Brandon Snyder  PH-3B","2","0","0","0","0","2","2",".209",".227",".419",".646","13","7","-0.087","1.71","0.000","-0.087","-0.5","0","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Ryan Dempster  P","","","","","","","","","","","","","","","","","","","1","2",""
"Junichi Tazawa  P","","","","","","","","","","","","","","","","","","","0","0",""
"Koji Uehara  P","","","","","","","","","","","","","","","","","","","0","0",""
