"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","4","1","1","0","0","2","5",".296",".356",".423",".778","26","20","0.009","0.48","0.040","-0.031","0.8","6","0",""
"Shane Victorino  RF","4","0","3","1","0","0","5",".285",".336",".408",".743","19","12","0.149","0.52","0.149","0.000","2.0","3","0","2B,HBP"
"Dustin Pedroia  2B","5","1","1","0","0","1","5",".292",".370",".404",".774","17","13","-0.102","0.65","0.002","-0.104","-1.6","1","4","3B,2·GDP"
"David Ortiz  1B","5","0","0","0","0","2","5",".323",".404",".581",".985","18","10","-0.055","0.42","0.000","-0.055","-1.3","6","0",""
"Mike Carp  1B","0","0","0","0","0","0","0",".310",".368",".561",".930","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jarrod Saltalamacchia  C","4","2","2","1","1","2","5",".272",".341",".456",".797","19","11","0.046","0.32","0.055","-0.008","1.2","5","0","2B"
"Daniel Nava  LF","4","2","3","1","1","0","5",".295",".382",".435",".817","24","14","0.139","0.72","0.140","-0.001","2.4","3","0",""
"Stephen Drew  SS","5","1","2","1","0","1","5",".248",".328",".424",".752","19","15","0.131","0.72","0.145","-0.014","1.4","3","3","2B"
"Will Middlebrooks  3B","1","0","0","1","2","0","4",".222",".272",".422",".694","14","5","0.010","0.99","0.011","-0.001","-0.0","0","2","SF,2·IW"
"Jon Lester  P","3","0","0","0","0","1","4",".000",".000",".000",".000","14","11","-0.069","0.73","0.000","-0.069","-1.5","0","0","SH"
"Brandon Workman  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
