"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","4","0","1","1","1","0","5",".279",".333",".402",".735","27","16","0.031","1.07","0.120","-0.089","-0.0","3","0",""
"Jonny Gomes  LF","4","0","2","0","1","0","5",".208",".377",".333",".710","13","9","0.072","0.87","0.099","-0.027","1.0","3","0","2B"
"Dustin Pedroia  2B","5","0","0","0","0","0","5",".315",".417",".370",".788","20","14","-0.105","1.16","0.016","-0.121","-0.8","4","3",""
"Mike Napoli  DH","5","1","1","0","0","2","5",".283",".336",".593",".929","19","13","-0.061","0.88","0.065","-0.126","-1.6","","","2B,GDP"
"Daniel Nava  RF","3","0","1","0","2","1","5",".298",".396",".536",".932","23","8","0.002","0.88","0.058","-0.057","0.1","1","0","2B"
"Will Middlebrooks  3B","4","1","0","0","1","1","5",".198",".239",".406",".645","15","9","-0.081","1.06","0.023","-0.105","-1.2","0","0",""
"Mike Carp  1B","3","0","1","1","1","2","4",".464",".516","1.000","1.516","18","10","0.085","1.27","0.139","-0.054","0.8","7","1",""
"David Ross  C","1","1","0","0","3","0","4",".229",".308",".514",".822","19","6","0.059","1.28","0.134","-0.075","0.7","8","0","GDP"
"Stephen Drew  SS","2","0","0","1","1","2","4",".186",".290",".322",".612","16","10","-0.026","1.33","0.025","-0.051","-0.5","0","5","SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Ryan Dempster  P","","","","","","","","","","","","","","","","","","","1","0",""
"Andrew Miller  P","","","","","","","","","","","","","","","","","","","0","0",""
"Junichi Tazawa  P","","","","","","","","","","","","","","","","","","","0","0",""
"Koji Uehara  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joel Hanrahan  P","","","","","","","","","","","","","","","","","","","0","0",""
