"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alejandro De Aza  LF","4","0","0","1","0","0","4",".270",".328",".416",".744","19","10","-0.025","0.96","0.019","-0.044","-0.5","0","0","SB"
"Gordon Beckham  2B","4","0","0","0","0","0","4",".283",".333",".390",".723","18","10","-0.065","0.60","0.000","-0.065","-0.7","3","5",""
"Alexei Ramirez  SS","4","1","1","0","0","1","4",".285",".309",".373",".682","19","11","0.039","0.83","0.067","-0.028","0.1","2","2","SB"
"Adam Dunn  DH","3","0","0","0","1","1","4",".228",".331",".456",".788","20","12","-0.071","0.87","0.007","-0.078","-0.4","","",""
"Paul Konerko  1B","4","0","0","0","0","1","4",".242",".309",".352",".661","11","9","-0.074","0.70","0.000","-0.074","-1.0","11","0",""
"Avisail Garcia  CF","4","0","1","1","0","1","4",".296",".327",".432",".760","14","10","0.102","0.68","0.127","-0.025","0.4","3","0","SB"
"Conor Gillaspie  3B","3","1","1","0","1","0","4",".244",".307",".378",".685","14","8","0.048","0.68","0.054","-0.007","0.1","1","3",""
"Jordan Danks  RF","3","0","1","0","0","1","3",".255",".314",".404",".718","13","8","-0.088","1.29","0.004","-0.092","-0.7","1","0",""
"Josh Phegley  C","3","0","1","0","0","1","3",".211",".221",".331",".552","8","6","0.045","0.84","0.074","-0.030","0.2","3","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"John Danks  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jake Petricka  P","","","","","","","","","","","","","","","","","","","0","1",""
"David Purcey  P","","","","","","","","","","","","","","","","","","","0","0",""
