"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alejandro De Aza  CF","6","2","2","1","2","2","8",".257",".304",".404",".707","34","18","0.263","1.78","0.432","-0.169","0.1","1","1","CS,IW"
"Alexei Ramirez  SS","8","0","2","0","0","3","8",".273",".309",".336",".645","27","22","0.015","2.22","0.319","-0.304","-0.2","1","2",""
"Alex Rios  RF","8","1","4","2","0","0","8",".286",".346",".491",".837","25","17","0.350","1.73","0.425","-0.075","2.0","5","1",""
"Adam Dunn  1B","4","1","0","0","4","1","8",".162",".261",".393",".654","36","13","-0.046","1.63","0.087","-0.133","0.8","8","1","3·IW"
"Paul Konerko  DH","6","1","1","0","1","0","7",".233",".296",".347",".643","27","17","-0.284","2.28","0.163","-0.447","-1.8","","","GDP"
"Jordan Danks  PR","1","0","0","0","0","1","1",".143",".280",".286",".566","3","3","-0.012","0.49","0.000","-0.012","-0.4","","",""
"Dayan Viciedo  LF","3","0","0","0","0","0","3",".238",".284",".385",".668","17","11","-0.104","1.14","0.000","-0.104","-0.8","2","0","GDP"
"Conor Gillaspie  PH","0","0","0","0","0","0","0",".267",".335",".387",".722","","","0.000","0.00","0.000","0.000","0.0","","",""
"Casper Wells  PH-LF","4","1","1","1","0","2","4",".129",".156",".161",".318","9","8","-0.300","3.59","0.051","-0.351","-0.3","5","0",""
"Jeff Keppinger  3B","7","0","1","2","0","2","7",".228",".234",".264",".498","29","20","-0.292","1.99","0.029","-0.322","-0.1","1","2",""
"Gordon Beckham  2B","7","1","4","0","0","0","7",".333",".343",".364",".706","20","14","0.406","1.82","0.457","-0.051","0.9","4","7","2B,2·SB"
"Hector Gimenez  C","7","0","2","1","0","2","7",".224",".310",".408",".719","22","16","-0.361","2.04","0.021","-0.382","-0.3","20","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Dylan Axelrod  P","","","","","","","","","","","","","","","","","","","1","0",""
"Hector Santiago  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Lindstrom  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Thornton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jesse Crain  P","","","","","","","","","","","","","","","","","","","0","0",""
"Nate Jones  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Omogrosso  P","","","","","","","","","","","","","","","","","","","0","0",""
"Addison Reed  P","","","","","","","","","","","","","","","","","","","0","0",""
