"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alejandro De Aza  LF","4","2","2","2","0","1","4",".240",".280",".450",".730","17","9","0.227","0.92","0.274","-0.047","2.1","3","0","HR,2B"
"Jeff Keppinger  2B","4","0","0","0","0","2","4",".193",".189",".216",".405","15","10","-0.078","0.67","0.000","-0.078","-0.8","1","1",""
"Alex Rios  RF","4","0","1","1","0","0","4",".276",".349",".500",".849","18","10","0.010","0.80","0.082","-0.072","0.0","4","0",""
"Adam Dunn  DH","4","0","0","0","0","1","4",".141",".233",".359",".592","18","11","-0.081","0.82","0.000","-0.081","-0.8","","",""
"Paul Konerko  1B","3","1","1","0","1","0","4",".237",".298",".409",".707","14","8","0.066","0.60","0.087","-0.020","0.7","6","0","2B"
"Conor Gillaspie  3B","4","1","2","1","0","1","4",".323",".375",".538",".913","12","8","0.217","1.06","0.255","-0.038","1.2","0","2","HR"
"Alexei Ramirez  SS","3","0","1","0","1","0","4",".283",".323",".380",".704","16","8","0.029","0.87","0.056","-0.027","0.3","2","3",""
"Tyler Flowers  C","4","1","1","0","0","0","4",".182",".250",".364",".614","18","12","-0.088","1.17","0.026","-0.114","-1.3","10","0","GDP"
"Dewayne Wise  CF","3","0","0","0","0","1","3",".207",".207",".345",".552","10","6","-0.091","1.18","0.000","-0.091","-0.9","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Chris Sale  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jesse Crain  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Thornton  P","","","","","","","","","","","","","","","","","","","0","1",""
"Addison Reed  P","","","","","","","","","","","","","","","","","","","0","0",""
