"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dewayne Wise  CF-LF","4","0","0","0","0","2","4",".154",".154",".154",".308","15","11","-0.108","1.02","0.000","-0.108","-0.9","3","0",""
"Jeff Keppinger  2B-3B","4","0","0","0","0","1","4",".172",".169",".188",".357","13","9","-0.082","0.81","0.000","-0.082","-0.7","3","2",""
"Alex Rios  RF","4","0","1","0","0","0","4",".344",".403",".656","1.059","11","7","-0.029","0.76","0.028","-0.057","-0.3","1","0",""
"Paul Konerko  DH","3","0","0","0","1","1","4",".241",".306",".463",".769","18","10","-0.037","0.86","0.014","-0.050","-0.4","","",""
"Adam Dunn  1B","3","0","0","0","0","1","3",".105",".164",".228",".392","14","10","-0.079","1.04","0.000","-0.079","-0.7","10","0",""
"Dayan Viciedo  LF","2","0","1","0","0","1","2",".229",".229",".417",".646","10","7","0.041","0.84","0.052","-0.011","0.3","0","0",""
"Jordan Danks  PH-CF","1","0","0","0","0","1","1",".500",".500",".500","1.000","5","4","-0.022","0.87","0.000","-0.022","-0.2","0","0",""
"Alexei Ramirez  SS","3","1","1","0","0","0","3",".327",".377",".473",".850","10","8","-0.108","1.22","0.026","-0.133","-0.7","0","5","GDP"
"Conor Gillaspie  3B","2","0","0","0","0","0","2",".364",".382",".485",".867","3","3","-0.033","0.65","0.000","-0.033","-0.3","0","3",""
"Tyler Greene  PH-2B","1","0","0","0","0","0","1",".375",".375",".375",".750","2","2","-0.028","1.13","0.000","-0.028","-0.3","0","1",""
"Tyler Flowers  C","3","0","1","1","0","1","3",".205",".255",".477",".733","8","7","0.023","0.65","0.058","-0.035","0.8","7","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Chris Sale  P","","","","","","","","","","","","","","","","","","","0","1",""
"Nate Jones  P","","","","","","","","","","","","","","","","","","","0","0",""
