"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","4","0","0","0","0","1","4",".303",".350",".431",".782","17","9","-0.110","1.08","0.000","-0.110","-0.7","4","0",""
"Jason Kipnis  2B","4","1","1","0","0","1","4",".249",".314",".473",".787","18","11","-0.022","1.01","0.048","-0.071","-0.1","3","5",""
"Asdrubal Cabrera  SS","4","0","1","0","0","2","4",".262",".322",".437",".759","16","10","-0.075","1.18","0.026","-0.101","-0.4","1","4","2B,SB"
"Nick Swisher  1B","4","0","0","0","0","1","4",".273",".370",".497",".867","13","9","0.014","1.09","0.086","-0.073","0.1","8","0",""
"Carlos Santana  C","3","0","0","1","0","2","4",".285",".400",".519",".919","18","13","-0.062","1.41","0.015","-0.076","-0.4","7","0","SF"
"Mark Reynolds  3B","3","0","1","0","0","1","3",".259",".342",".512",".854","12","7","0.006","0.96","0.049","-0.044","-0.1","0","1",""
"Michael Brantley  LF","3","0","0","0","0","0","3",".304",".356",".391",".748","9","7","-0.138","1.31","0.000","-0.138","-0.8","0","0","GDP"
"Drew Stubbs  RF","3","0","1","0","0","1","3",".244",".299",".381",".680","12","8","-0.045","1.34","0.033","-0.078","-0.2","1","0",""
"Ubaldo Jimenez  P","1","0","0","0","0","1","2",".000",".000",".000",".000","7","5","-0.039","1.16","0.000","-0.039","-0.3","0","0","SH"
"Jason Giambi  PH","1","1","1","1","0","0","1",".164",".254",".361",".614","3","2","0.271","1.52","0.271","0.000","1.0","","","HR"
"Nick Hagadone  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Bryan Shaw  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
