"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","6","0","1","0","0","3","6",".270",".319",".352",".671","20","14","-0.140","1.10","0.036","-0.176","-0.8","2","0","CS"
"Nick Swisher  1B","6","1","1","0","0","3","6",".237",".335",".389",".724","27","17","-0.022","1.09","0.082","-0.103","-0.4","12","0",""
"Jason Kipnis  2B","5","2","3","0","1","1","6",".293",".372",".483",".855","24","15","0.183","1.25","0.233","-0.050","1.4","1","4","2B"
"Carlos Santana  C","5","3","1","1","0","0","6",".261",".361",".445",".806","16","11","0.328","1.68","0.420","-0.092","1.3","12","0","HR,HBP"
"Michael Brantley  LF","5","1","2","3","0","0","6",".281",".331",".395",".726","18","14","0.244","1.87","0.304","-0.060","0.8","5","0","SF"
"Jason Giambi  DH","3","2","2","3","1","0","4",".190",".292",".395",".687","10","4","0.388","1.43","0.404","-0.016","2.6","","","HR"
"Yan Gomes  PH","1","0","0","0","1","1","2",".313",".358",".534",".892","9","4","0.002","0.56","0.014","-0.012","0.0","","",""
"Mike Aviles  SS-3B","6","0","2","2","0","0","6",".263",".290",".383",".673","22","14","-0.027","1.41","0.122","-0.149","0.6","0","5",""
"Lonnie Chisenhall  3B","2","0","0","0","0","0","2",".223",".269",".359",".628","7","3","-0.048","0.85","0.000","-0.048","-0.5","0","0",""
"Asdrubal Cabrera  PH-SS","3","0","0","0","0","2","3",".234",".288",".389",".676","11","8","-0.173","2.21","0.000","-0.173","-0.9","0","1",""
"Drew Stubbs  RF","5","0","0","0","0","1","5",".240",".298",".360",".657","23","15","-0.137","1.09","0.000","-0.137","-1.0","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Carlos Carrasco  P","","","","","","","","","","","","","","","","","","","0","2",""
"Rich Hill  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Albers  P","","","","","","","","","","","","","","","","","","","0","0",""
"Bryan Shaw  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cody Allen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
