"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","5","2","3","0","0","1","5",".312",".358",".420",".778","15","11","0.114","1.05","0.159","-0.046","1.1","0","0",""
"Mike Aviles  2B-SS","4","0","2","1","0","0","5",".283",".310",".425",".735","14","12","0.002","1.20","0.100","-0.098","0.3","0","0","SF"
"Asdrubal Cabrera  SS","2","0","0","0","0","1","3",".254",".311",".434",".745","9","7","-0.057","1.59","0.000","-0.057","-0.6","0","4","SH"
"Jason Kipnis  2B","1","0","0","0","1","1","2",".242",".311",".447",".759","11","6","0.043","1.14","0.069","-0.026","0.1","1","3","SB"
"Nick Swisher  1B","4","1","0","1","1","1","5",".258",".358",".457",".815","20","11","-0.086","1.43","0.019","-0.105","-1.0","9","3",""
"Mark Reynolds  3B","3","0","0","0","1","2","4",".251",".333",".492",".825","15","7","-0.052","1.43","0.036","-0.088","-0.5","1","1",""
"Carlos Santana  DH","4","0","2","2","0","1","4",".288",".392",".495",".886","20","12","0.198","1.71","0.261","-0.064","1.5","","","2B"
"Ryan Raburn  LF","1","0","0","0","1","0","2",".293",".364",".525",".889","9","4","0.024","0.91","0.038","-0.014","0.2","2","0",""
"Michael Brantley  PH-LF","1","0","0","0","1","0","2",".297",".354",".376",".730","10","4","-0.004","1.77","0.017","-0.022","-0.1","0","0",""
"Yan Gomes  C","4","0","0","0","0","0","4",".291",".301",".582",".883","15","10","-0.157","1.69","0.000","-0.157","-1.4","7","0",""
"Drew Stubbs  RF","4","1","1","0","0","1","4",".225",".283",".352",".634","12","7","-0.033","1.08","0.058","-0.091","-0.2","3","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Masterson  P","","","","","","","","","","","","","","","","","","","1","0",""
"Cody Allen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
