"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","5","1","2","1","0","0","6",".272",".340",".421",".761","20","14","-0.016","0.79","0.057","-0.073","-0.3","5","0","SF"
"Torii Hunter  RF","6","1","1","0","0","2","6",".303",".338",".465",".803","28","20","-0.098","0.87","0.014","-0.112","-1.1","0","0",""
"Miguel Cabrera  3B","4","2","3","2","1","0","5",".360",".450",".685","1.135","25","14","0.254","0.75","0.264","-0.010","2.5","0","1","HR"
"Don Kelly  3B","0","0","0","0","0","0","0",".235",".332",".371",".702","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Prince Fielder  1B","5","1","2","0","0","1","5",".265",".351",".437",".788","18","11","-0.030","0.90","0.043","-0.073","0.1","10","0",""
"Jeremy Bonderman  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Victor Martinez  C","5","1","2","1","0","0","5",".284",".339",".402",".741","13","8","0.063","1.01","0.112","-0.049","0.8","5","1",""
"Bryan Holaday  PR-C","0","1","0","0","0","0","0",".280",".357",".440",".797","","","0.004","0.21","0.004","0.000","0.8","0","0",""
"Andy Dirks  LF","3","2","1","3","2","1","5",".252",".322",".363",".685","24","12","0.309","1.11","0.352","-0.043","2.6","1","0","HR"
"Omar Infante  2B","5","1","2","1","0","0","5",".321",".346",".438",".785","9","8","-0.011","0.73","0.045","-0.056","0.7","3","6",""
"Ramon Santiago  SS","5","1","3","1","0","0","5",".221",".296",".303",".600","19","12","-0.046","0.56","0.039","-0.085","0.9","2","5",""
"Rick Porcello  P","3","0","1","0","0","0","3",".333",".333",".333",".667","8","6","-0.040","0.88","0.012","-0.052","-0.5","0","1",""
"Brayan Pena  PH","1","0","0","0","0","0","1",".305",".327",".411",".738","2","2","-0.009","0.38","0.000","-0.009","-0.1","","",""
"Bruce Rondon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Matt Tuiasosopo  PH-1B","1","0","1","1","0","0","1",".287",".394",".493",".886","1","1","0.001","0.01","0.001","0.000","0.7","1","0",""
