"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Andy Dirks  LF","4","0","0","0","0","0","4",".252",".326",".400",".726","17","9","-0.062","0.64","0.000","-0.062","-0.9","0","0",""
"Torii Hunter  RF","4","1","2","1","0","0","4",".313",".354",".416",".770","18","12","0.064","0.50","0.086","-0.022","0.9","2","0","2B"
"Miguel Cabrera  3B","4","0","1","0","0","0","4",".373",".443",".598","1.040","12","6","-0.039","0.55","0.012","-0.051","-0.6","0","1",""
"Prince Fielder  1B","4","0","1","1","0","0","4",".272",".401",".510",".911","13","9","0.032","0.61","0.072","-0.040","0.3","10","0",""
"Victor Martinez  DH","3","0","1","0","1","0","4",".216",".276",".307",".584","13","6","0.038","0.59","0.066","-0.028","0.3","","","2B"
"Alex Avila  C","4","0","0","0","0","1","4",".179",".256",".304",".560","12","10","-0.080","0.80","0.000","-0.080","-1.1","6","2",""
"Jhonny Peralta  SS","4","0","1","0","0","0","4",".317",".380",".455",".836","15","8","0.011","0.59","0.040","-0.029","-0.2","1","3",""
"Omar Infante  2B","3","0","0","0","0","0","3",".309",".342",".439",".781","9","7","-0.110","0.92","0.000","-0.110","-1.2","3","7","GDP"
"Avisail Garcia  CF","3","1","1","0","0","1","3",".250",".250",".625",".875","17","9","0.007","0.51","0.029","-0.022","-0.0","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Anibal Sanchez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Drew Smyly  P","","","","","","","","","","","","","","","","","","","0","0",""
"Phil Coke  P","","","","","","","","","","","","","","","","","","","0","0",""
