"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","4","0","1","0","0","1","4",".289",".372",".403",".775","12","11","-0.066","0.88","0.012","-0.078","-0.5","4","0","2B"
"Torii Hunter  RF","4","0","0","0","0","2","4",".293",".336",".405",".741","14","13","-0.079","0.77","0.000","-0.079","-1.2","1","0",""
"Miguel Cabrera  3B","4","0","0","0","0","2","4",".369",".456",".672","1.128","15","11","-0.032","0.30","0.000","-0.032","-0.8","1","0",""
"Prince Fielder  1B","4","1","1","1","0","1","4",".273",".369",".476",".845","22","15","0.008","0.38","0.039","-0.030","0.4","4","0","HR"
"Victor Martinez  DH","4","1","1","0","0","1","4",".233",".290",".339",".628","17","11","0.007","0.32","0.028","-0.022","-0.1","","","2B"
"Jhonny Peralta  SS","4","0","0","0","0","1","4",".310",".369",".456",".826","15","10","-0.039","0.36","0.000","-0.039","-0.7","2","2",""
"Omar Infante  2B","4","1","4","2","0","0","4",".309",".340",".446",".786","11","9","0.111","0.49","0.111","0.000","2.8","0","2","HR,2B"
"Andy Dirks  LF","3","0","0","0","0","0","3",".245",".302",".349",".650","6","5","-0.058","1.12","0.018","-0.076","-0.9","2","1",""
"Avisail Garcia  PH","1","0","0","0","0","1","1",".241",".273",".373",".646","4","3","0.000","0.02","0.000","0.000","-0.1","","",""
"Brayan Pena  C","2","0","0","0","1","0","3",".290",".321",".379",".700","16","7","0.011","0.67","0.025","-0.014","-0.3","10","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jose Alvarez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Luke Putkonen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darin Downs  P","","","","","","","","","","","","","","","","","","","0","0",""
