"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Altuve  2B","5","1","1","1","0","1","5",".340",".389",".443",".832","17","10","0.051","1.11","0.110","-0.059","0.9","1","3",""
"Brandon Barnes  RF","2","1","1","0","1","1","4",".375",".474",".500",".974","18","9","0.071","0.87","0.093","-0.023","0.7","1","0","HBP"
"Rick Ankiel  PH-RF","1","0","0","0","0","1","1",".200",".217",".578",".795","4","3","-0.048","1.82","0.000","-0.048","-0.8","0","0",""
"Brandon Laird  1B","2","0","0","0","1","1","3",".217",".280",".565",".845","10","5","-0.008","0.89","0.025","-0.033","-0.0","7","0",""
"Fernando Martinez  PH-LF","1","0","0","0","1","0","2",".263",".300",".421",".721","11","6","0.013","0.92","0.022","-0.009","-0.1","1","0",""
"Chris Carter  LF-1B","4","0","0","1","1","4","5",".216",".300",".432",".732","20","14","-0.023","1.22","0.079","-0.102","0.1","3","0",""
"Ronny Cedeno  DH","2","0","0","1","0","1","3",".313",".303",".469",".772","6","5","-0.064","1.13","0.000","-0.064","-0.8","","","SF"
"Carlos Pena  PH","1","1","0","0","1","1","2",".188",".301",".325",".626","10","3","0.011","0.16","0.013","-0.001","0.3","","",""
"Carlos Corporan  C","2","0","0","0","2","1","4",".250",".375",".250",".625","18","6","0.043","0.75","0.069","-0.026","1.0","8","0",""
"Matt Dominguez  3B","4","0","1","1","0","0","4",".263",".314",".338",".651","15","11","-0.041","1.06","0.049","-0.090","-0.1","0","1",""
"Marwin Gonzalez  SS","4","1","2","0","0","1","4",".321",".367",".554",".920","10","9","0.022","1.42","0.119","-0.096","-0.1","1","1","2B,SB"
"Robbie Grossman  CF","4","0","0","0","0","0","4",".118",".167",".235",".402","13","7","-0.127","1.24","0.000","-0.127","-1.5","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Brad Peacock  P","","","","","","","","","","","","","","","","","","","0","1",""
"Travis Blackley  P","","","","","","","","","","","","","","","","","","","0","1",""
"Wesley Wright  P","","","","","","","","","","","","","","","","","","","0","0",""
"Hector Ambriz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jose Veras  P","","","","","","","","","","","","","","","","","","","0","0",""
