"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Robbie Grossman  LF","4","1","1","0","1","0","5",".244",".339",".345",".684","24","15","-0.006","0.49","0.034","-0.040","0.2","2","0",""
"Brett Wallace  1B","5","1","1","0","0","1","5",".215",".277",".436",".712","13","9","0.009","0.52","0.047","-0.038","-0.2","6","2","SB"
"Jose Altuve  2B","5","0","1","0","0","1","5",".281",".319",".363",".682","19","12","-0.016","0.49","0.018","-0.034","-0.6","1","4","2B"
"Jason Castro  C","3","1","1","1","1","0","5",".272",".340",".466",".806","24","13","0.026","0.72","0.057","-0.031","0.0","6","0","SF"
"Chris Carter  DH","4","0","1","1","0","1","4",".212",".311",".431",".742","13","10","0.023","0.64","0.066","-0.043","0.2","","","2B"
"Matt Dominguez  3B","4","1","2","0","0","2","4",".230",".261",".383",".643","18","11","0.084","0.52","0.100","-0.016","0.8","1","1","2B"
"Brandon Barnes  CF","4","1","2","2","0","1","4",".241",".299",".360",".659","20","14","0.146","0.60","0.154","-0.009","1.7","3","0","2·2B"
"L.J. Hoes  RF","4","0","2","0","0","0","4",".239",".255",".326",".581","11","8","-0.006","0.41","0.028","-0.034","0.5","2","0","SB"
"Jonathan Villar  SS","4","0","0","0","0","2","4",".220",".324",".271",".595","19","12","-0.053","0.47","0.000","-0.053","-1.8","4","3","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Jordan Lyles  P","","","","","","","","","","","","","","","","","","","2","0",""
"Josh Zeid  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Chapman  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chia-Jen Lo  P","","","","","","","","","","","","","","","","","","","0","0",""
