"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brandon Barnes  CF","1","0","0","0","1","0","3",".317",".406",".467",".872","10","5","-0.059","1.21","0.014","-0.072","-0.5","2","1","CS,SH"
"Trevor Crowe  PH","1","0","0","0","0","1","1",".250",".348",".400",".748","3","3","-0.066","2.73","0.000","-0.066","-0.2","","",""
"Jose Altuve  2B","4","0","0","0","0","0","4",".333",".369",".438",".808","15","10","-0.143","1.44","0.000","-0.143","-0.8","4","5",""
"J.D. Martinez  LF","4","0","0","0","0","1","4",".234",".259",".442",".701","15","9","-0.112","1.10","0.000","-0.112","-0.6","1","0",""
"Chris Carter  1B","2","0","1","0","1","1","3",".230",".315",".439",".755","10","5","0.101","1.05","0.113","-0.012","0.6","10","0",""
"Carlos Corporan  C","3","0","1","0","0","1","3",".314",".386",".529",".915","15","8","-0.052","1.95","0.049","-0.101","-0.3","6","0",""
"Jimmy Paredes  RF","3","0","0","0","0","0","3",".176",".216",".294",".510","11","8","-0.170","1.88","0.000","-0.170","-1.0","1","0","GDP"
"Matt Dominguez  3B","3","0","0","0","0","0","3",".232",".264",".344",".609","11","6","-0.095","1.53","0.000","-0.095","-0.6","0","1",""
"Marwin Gonzalez  SS","3","0","0","0","0","1","3",".241",".265",".375",".640","12","10","-0.104","1.39","0.000","-0.104","-0.6","0","5",""
"Lucas Harrell  P","2","0","1","0","0","1","2",".500",".500",".500","1.000","8","5","0.046","1.07","0.063","-0.016","0.2","0","2",""
"Carlos Pena  PH","1","0","0","0","0","0","1",".227",".339",".348",".687","3","2","-0.024","0.97","0.000","-0.024","-0.1","","",""
"Hector Ambriz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
