"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","4","1","2","2","0","0","4",".313",".338",".484",".823","15","12","0.360","1.37","0.404","-0.044","2.4","1","0","HR"
"Alcides Escobar  SS","4","0","1","1","0","0","4",".281",".318",".405",".723","10","6","-0.148","1.53","0.089","-0.236","-1.0","1","5","2·GDP"
"Billy Butler  DH","4","0","0","0","0","2","4",".253",".385",".400",".785","16","11","-0.141","1.35","0.000","-0.141","-1.1","","",""
"Eric Hosmer  1B","4","0","2","0","0","0","4",".269",".343",".333",".676","12","8","0.025","1.02","0.080","-0.055","0.2","12","1",""
"Lorenzo Cain  CF","4","0","1","0","0","0","4",".333",".378",".465",".843","9","6","-0.009","1.24","0.054","-0.063","-0.1","2","0",""
"Jeff Francoeur  RF","4","0","0","0","0","1","4",".234",".274",".336",".611","17","12","-0.245","1.88","0.000","-0.245","-1.6","1","0","GDP"
"Salvador Perez  C","4","0","0","0","0","1","4",".279",".303",".375",".678","15","12","-0.143","1.39","0.000","-0.143","-1.0","5","1",""
"Miguel Tejada  3B","3","2","2","0","0","0","3",".368",".400",".421",".821","8","4","0.035","0.87","0.064","-0.029","0.3","1","3",""
"Mike Moustakas  PH","1","0","0","0","0","0","1",".196",".276",".283",".559","3","1","-0.036","1.41","0.000","-0.036","-0.1","","",""
"Elliot Johnson  2B","3","0","2","0","0","0","3",".259",".286",".370",".656","14","8","0.026","1.23","0.069","-0.043","0.4","0","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Ervin Santana  P","","","","","","","","","","","","","","","","","","","1","0",""
"Tim Collins  P","","","","","","","","","","","","","","","","","","","0","0",""
"Luke Hochevar  P","","","","","","","","","","","","","","","","","","","0","0",""
