"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","3","1","2","0","0","1","3",".292",".351",".426",".778","11","7","0.032","0.89","0.091","-0.060","0.4","2","0","2B,CS"
"Jarrod Dyson  CF","2","0","0","0","0","0","2",".254",".290",".508",".799","6","4","-0.079","1.56","0.000","-0.079","-1.0","2","0",""
"Alcides Escobar  SS","3","1","1","0","0","1","4",".250",".281",".328",".609","19","16","-0.013","1.26","0.059","-0.072","-0.3","0","0","SH"
"Eric Hosmer  1B","4","2","2","1","0","1","4",".279",".330",".419",".750","20","11","0.263","1.23","0.330","-0.067","0.9","7","2","HR"
"Billy Butler  DH","4","0","1","1","0","1","4",".282",".383",".408",".791","18","12","-0.029","1.44","0.089","-0.118","-0.1","","",""
"Salvador Perez  C","4","1","2","1","0","0","4",".304",".330",".423",".752","10","8","0.124","1.25","0.159","-0.035","1.0","5","0",""
"Lorenzo Cain  CF-RF","3","1","1","1","1","0","4",".258",".322",".375",".697","15","6","0.269","1.44","0.300","-0.030","2.0","2","0",""
"Miguel Tejada  3B","3","0","2","1","0","1","4",".286",".321",".403",".724","15","8","0.164","1.28","0.185","-0.021","1.9","1","1","SH"
"Mike Moustakas  3B","0","0","0","0","0","0","0",".218",".279",".326",".605","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Johnny Giavotella  2B","4","0","0","0","0","0","4",".273",".333",".364",".697","15","11","-0.052","0.79","0.023","-0.075","-1.2","1","4",""
"Elliot Johnson  2B","0","0","0","0","0","0","0",".219",".248",".297",".545","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"David Lough  RF-LF","4","0","0","0","0","0","4",".302",".323",".450",".773","9","5","-0.110","0.99","0.000","-0.110","-1.6","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Guthrie  P","","","","","","","","","","","","","","","","","","","3","1",""
"Will Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
"Greg Holland  P","","","","","","","","","","","","","","","","","","","0","0",""
