"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","3","0","0","0","1","1","4",".287",".357",".428",".785","13","7","-0.012","0.69","0.029","-0.040","-0.2","2","0",""
"Jarrod Dyson  CF","0","0","0","0","0","0","0",".257",".313",".473",".785","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Alcides Escobar  SS","3","1","0","0","1","1","4",".244",".277",".329",".607","14","8","-0.085","0.68","0.000","-0.085","-0.8","2","0",""
"Elliot Johnson  SS","0","0","0","0","0","0","0",".213",".246",".287",".533","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eric Hosmer  1B","4","0","2","1","0","0","4",".288",".338",".436",".774","16","11","-0.019","0.42","0.013","-0.032","0.7","4","2","2B"
"Billy Butler  DH","4","0","1","0","0","1","4",".270",".373",".405",".777","12","8","-0.002","0.41","0.020","-0.021","-0.4","","",""
"Mike Moustakas  3B","4","0","0","0","0","0","4",".213",".272",".331",".603","12","8","-0.054","0.53","0.000","-0.054","-0.9","1","1",""
"Lorenzo Cain  CF-RF","4","0","1","0","0","1","4",".256",".316",".375",".691","20","14","-0.042","0.42","0.000","-0.042","-0.4","3","1",""
"David Lough  RF-LF","4","0","0","0","0","1","4",".286",".304",".442",".745","14","11","-0.028","0.28","0.000","-0.028","-0.8","1","0",""
"Johnny Giavotella  2B","4","0","1","0","0","1","4",".214",".267",".286",".552","10","7","-0.003","0.17","0.008","-0.011","-0.3","1","1",""
"George Kottaras  C","3","0","1","0","0","0","3",".179",".343",".446",".789","13","7","-0.012","0.52","0.015","-0.027","-0.3","10","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Wade Davis  P","","","","","","","","","","","","","","","","","","","0","0",""
"J.C. Gutierrez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Louis Coleman  P","","","","","","","","","","","","","","","","","","","0","0",""
