"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","4","3","3","1","1","0","5",".400",".444",".600","1.044","19","9","0.108","0.83","0.129","-0.021","1.9","2","0","2B"
"Alcides Escobar  SS","3","1","1","1","2","1","5",".250",".333",".458",".792","25","11","0.163","1.23","0.181","-0.017","1.5","0","1","2B,SB,GDP"
"Billy Butler  1B","4","1","2","7","1","0","5",".211",".318",".368",".687","17","8","0.481","1.58","0.507","-0.026","4.7","8","0","HR"
"Elliot Johnson  PR","0","0","0","0","0","0","0",".333",".333",".333",".667","","","0.000","0.00","0.000","0.000","0.0","","",""
"J.C. Gutierrez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Greg Holland  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Kelvin Herrera  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Salvador Perez  C","4","0","0","0","1","1","5",".154",".185",".192",".377","16","11","-0.032","0.59","0.028","-0.060","-0.9","14","0",""
"Jeff Francoeur  RF","5","0","1","0","0","1","5",".292",".320",".375",".695","30","23","-0.037","0.47","0.018","-0.055","-0.7","1","0","SB"
"Mike Moustakas  3B","5","0","1","0","0","0","5",".238",".273",".333",".606","12","11","-0.064","0.51","0.000","-0.064","-0.7","0","1",""
"Lorenzo Cain  CF","3","0","1","0","1","1","4",".176",".286",".176",".462","16","7","-0.004","0.51","0.038","-0.041","-0.0","1","0","CS"
"Tim Collins  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eric Hosmer  PH-1B","0","0","0","0","1","0","1",".333",".500",".400",".900","5","1","0.000","0.01","0.000","0.000","0.2","0","0",""
"Chris Getz  2B","5","2","2","0","0","1","5",".316",".316",".526",".842","16","10","0.052","0.57","0.105","-0.053","-0.7","0","4","2B,GDP"
"James Shields  P","3","1","1","0","0","1","3",".333",".333",".333",".667","10","8","-0.070","1.05","0.008","-0.079","-0.6","0","0",""
"Jarrod Dyson  CF","1","1","1","0","0","0","1",".200",".200",".400",".600","6","3","0.005","0.08","0.005","0.000","0.4","1","0","2B"
