"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"J.B. Shuck  LF","4","1","2","0","0","1","4",".300",".336",".382",".718","13","12","-0.012","0.79","0.042","-0.053","-0.1","3","0",""
"Buddy Boshers  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Michael Kohn  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Dane De La Rosa  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Hank Conger  PH","1","1","1","2","0","0","1",".257",".316",".440",".756","4","2","0.715","3.91","0.715","0.000","1.8","","","HR"
"Ernesto Frieri  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Erick Aybar  SS","5","1","2","0","0","1","5",".271",".306",".365",".671","15","14","0.101","0.70","0.130","-0.030","0.9","2","3",""
"Mike Trout  CF-LF-CF","4","1","1","1","0","1","4",".330",".427",".568",".995","15","11","-0.032","1.60","0.071","-0.103","-0.1","1","0",""
"Kole Calhoun  RF","3","0","1","1","1","0","4",".255",".345",".457",".803","11","6","0.122","1.35","0.175","-0.053","1.3","2","0",""
"Mark Trumbo  1B","4","0","1","0","0","2","4",".237",".296",".456",".752","14","11","-0.065","1.25","0.056","-0.121","-0.9","7","1","2B"
"Andrew Romine  PR-3B","0","0","0","0","0","0","0",".172",".250",".172",".422","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Luis Jimenez  3B-1B","4","0","1","1","0","0","4",".250",".277",".300",".577","12","9","-0.047","1.74","0.079","-0.126","-0.0","0","5",""
"Grant Green  2B","4","0","0","0","0","2","4",".244",".310",".289",".599","16","10","-0.183","1.50","0.000","-0.183","-1.4","4","3","GDP"
"Chris Iannetta  C","4","1","2","1","0","0","4",".212",".355",".338",".694","12","7","0.086","0.98","0.146","-0.060","0.9","8","1","HR"
"Jerome Williams  P","2","0","0","0","0","1","2",".000",".000",".000",".000","10","6","-0.044","0.84","0.000","-0.044","-0.4","0","0",""
"Peter Bourjos  PH-CF","1","0","0","0","0","1","1",".274",".328",".381",".709","6","3","-0.023","0.93","0.000","-0.023","-0.2","0","0",""
"Josh Hamilton  PH","1","1","1","0","0","0","1",".236",".295",".422",".718","5","2","0.074","1.35","0.074","0.000","0.2","","","2B"
"Collin Cowgill  LF","0","0","0","0","0","0","0",".231",".259",".361",".620","","","0.000","0.00","0.000","0.000","0.0","0","0",""
