"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brian Dozier  2B","6","1","2","1","0","2","6",".247",".296",".337",".633","30","19","0.276","1.25","0.389","-0.113","0.4","0","3","HR"
"Joe Mauer  C","5","2","2","0","1","1","6",".291",".371",".418",".789","19","13","0.045","1.13","0.143","-0.097","1.2","9","1","2·2B"
"Josh Willingham  LF","4","1","2","1","1","1","5",".244",".410",".512",".922","20","10","0.104","1.18","0.175","-0.071","1.0","0","0","2B"
"Eduardo Escobar  PR-SS","1","0","1","0","0","0","1",".349",".364",".488",".852","4","3","0.031","1.32","0.031","0.000","0.1","1","1",""
"Justin Morneau  1B","5","0","1","2","0","2","6",".250",".297",".361",".658","28","22","-0.121","1.55","0.076","-0.197","-0.6","13","2","SF"
"Chris Parmelee  RF","4","0","0","0","1","2","5",".209",".300",".337",".637","24","13","-0.097","1.21","0.026","-0.124","-0.6","1","0",""
"Trevor Plouffe  3B","3","0","0","0","2","1","5",".229",".330",".446",".776","22","12","0.020","1.29","0.103","-0.083","0.1","1","3",""
"Oswaldo Arcia  DH","4","1","1","0","1","3","5",".255",".305",".418",".723","35","23","0.007","1.49","0.113","-0.106","-0.4","","","2B"
"Aaron Hicks  CF","4","0","1","1","0","1","4",".124",".233",".202",".435","15","13","-0.011","1.15","0.081","-0.091","-0.0","1","1","2B"
"Wilkin Ramirez  PH-CF","1","0","0","0","0","0","1",".348",".360",".435",".795","4","3","-0.104","4.62","0.000","-0.104","-0.5","1","0",""
"Pedro Florimon  SS","3","0","0","0","0","2","3",".232",".313",".268",".580","11","7","-0.046","0.57","0.000","-0.046","-0.7","3","6",""
"Ryan Doumit  PH-LF","2","0","0","0","0","0","2",".198",".270",".284",".554","6","4","-0.187","3.67","0.000","-0.187","-0.7","0","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Vance Worley  P","","","","","","","","","","","","","","","","","","","0","3",""
"Brian Duensing  P","","","","","","","","","","","","","","","","","","","1","0",""
"Casey Fien  P","","","","","","","","","","","","","","","","","","","1","0",""
"Anthony Swarzak  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jared Burton  P","","","","","","","","","","","","","","","","","","","0","0",""
