"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brian Dozier  2B","5","1","1","0","0","1","5",".242",".310",".414",".724","17","12","-0.001","0.54","0.040","-0.041","0.0","3","1",""
"Chris Herrmann  RF","3","1","1","0","1","1","5",".222",".330",".370",".700","20","11","0.047","0.78","0.066","-0.019","0.2","0","0","SH"
"Josh Willingham  DH","3","0","0","0","2","2","5",".216",".354",".399",".753","27","14","-0.046","0.71","0.008","-0.054","-0.3","","",""
"Justin Morneau  1B","5","1","4","4","0","1","5",".267",".321",".431",".752","17","11","0.327","0.93","0.335","-0.008","3.5","10","2","HR,2B"
"Ryan Doumit  C","4","0","1","0","1","1","5",".244",".308",".388",".697","20","9","0.037","0.58","0.059","-0.022","0.1","4","1","IW"
"Wilkin Ramirez  LF","4","1","1","0","0","1","4",".267",".308",".367",".674","13","9","-0.074","0.82","0.010","-0.084","-1.4","0","0",""
"Trevor Plouffe  3B","4","0","1","1","0","1","4",".234",".296",".392",".688","21","14","-0.022","0.95","0.097","-0.118","-0.7","0","4","2B,GDP"
"Clete Thomas  CF","4","0","0","0","0","2","4",".223",".296",".335",".630","17","12","-0.059","0.56","0.000","-0.059","-1.0","4","0",""
"Pedro Florimon  SS","3","2","1","1","1","2","4",".218",".276",".334",".610","14","8","0.041","0.46","0.063","-0.023","1.1","5","3","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Mike Pelfrey  P","","","","","","","","","","","","","","","","","","","1","0",""
"Josh Roenicke  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jared Burton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Glen Perkins  P","","","","","","","","","","","","","","","","","","","0","0",""
