"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jamey Carroll  3B","4","0","0","0","1","1","5",".268",".326",".305",".631","20","11","-0.073","0.64","0.005","-0.078","-0.8","1","2",""
"Brian Dozier  2B","5","1","1","0","0","0","5",".197",".238",".270",".508","20","15","-0.005","0.64","0.044","-0.049","-0.3","3","4","SB"
"Joe Mauer  C","3","3","1","1","2","0","5",".339",".415",".497",".913","23","12","0.136","0.67","0.154","-0.017","1.0","6","0","HR"
"Josh Willingham  LF","4","0","1","0","1","0","5",".212",".367",".430",".797","14","5","-0.045","0.76","0.023","-0.068","-0.3","2","0",""
"Justin Morneau  1B","3","0","1","1","2","1","5",".299",".348",".401",".749","22","10","0.123","0.97","0.148","-0.025","1.1","8","0",""
"Ryan Doumit  RF","3","0","1","2","1","2","4",".216",".287",".345",".632","18","11","0.147","1.46","0.201","-0.054","1.2","1","0",""
"Josh Roenicke  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Brian Duensing  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jared Burton  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Colabello  PH","1","0","0","0","0","1","1",".100",".100",".100",".200","5","3","-0.003","0.12","0.000","-0.003","-0.2","","",""
"Glen Perkins  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Aaron Hicks  CF","4","1","1","0","0","0","4",".154",".235",".275",".510","14","8","-0.072","0.83","0.011","-0.083","-1.0","1","0","2B"
"Pedro Florimon  SS","4","0","2","1","0","1","4",".255",".328",".368",".696","15","13","0.118","0.66","0.138","-0.020","0.8","3","4","2B"
"Kevin Correia  P","2","0","0","0","0","1","3",".000",".000",".000",".000","8","7","-0.048","0.76","0.000","-0.048","-0.6","0","0","SH"
"Chris Parmelee  RF","1","1","1","1","0","0","1",".215",".293",".331",".623","5","3","0.067","0.33","0.067","0.000","1.0","2","0","HR"
