"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Eduardo Escobar  3B","3","0","0","0","1","0","4",".216",".274",".320",".593","24","16","-0.044","0.72","0.014","-0.058","-0.6","0","0",""
"Clete Thomas  LF","4","0","0","0","0","0","4",".111",".111",".111",".222","14","11","-0.020","0.63","0.023","-0.042","-0.3","2","1",""
"Ryan Doumit  C","4","0","0","0","0","1","4",".235",".301",".439",".740","17","12","-0.061","0.61","0.000","-0.061","-0.8","5","1",""
"Justin Morneau  1B","4","0","0","0","0","2","4",".290",".346",".382",".728","11","9","-0.052","0.53","0.000","-0.052","-0.8","7","1",""
"Chris Parmelee  RF","3","0","2","0","1","0","4",".230",".314",".358",".671","10","5","0.058","0.36","0.058","0.000","0.6","3","0","2B"
"Aaron Hicks  CF","4","0","1","0","0","1","4",".182",".252",".332",".584","13","10","-0.065","0.70","0.000","-0.065","-0.7","1","1",""
"Brian Dozier  2B","3","0","0","0","1","1","4",".227",".281",".324",".605","21","13","-0.053","0.49","0.000","-0.053","-0.4","2","1",""
"Pedro Florimon  SS","4","0","0","0","0","2","4",".241",".313",".338",".651","16","12","-0.054","0.54","0.000","-0.054","-1.0","4","4",""
"Scott Diamond  P","2","0","0","0","0","1","2",".000",".000",".000",".000","8","5","0.015","0.73","0.032","-0.017","0.1","0","0",""
"Ryan Pressly  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Josh Roenicke  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Colabello  PH","1","0","0","0","0","1","1",".125",".125",".125",".250","3","3","-0.001","0.02","0.000","-0.001","-0.1","","",""
"Caleb Thielbar  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
