"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Apr 1","boxscore","NYY","","BOS","L","2","8","","0-1","5","1.0","Lester","Sabathia","","3:37","D","49,514","-"
"2","2","Wednesday, Apr 3","boxscore","NYY","","BOS","L","4","7","","0-2","4","2.0","Buchholz","Kuroda","Hanrahan","3:35","N","40,216","--"
"3","3","Thursday, Apr 4","boxscore","NYY","","BOS","W","4","2","","1-2","3","1.0","Pettitte","Dempster","Rivera","2:38","N","40,611","+"
"4","4","Friday, Apr 5","boxscore","NYY","@","DET","L","3","8","","1-3","4","2.0","Fister","Nova","Smyly","2:58","D","45,051","-"
"5","5","Saturday, Apr 6","boxscore","NYY","@","DET","L","4","8","","1-4","5","2.0","Scherzer","Hughes","","3:28","D","42,453","--"
"6","6","Sunday, Apr 7","boxscore","NYY","@","DET","W","7","0","","2-4","4","2.0","Sabathia","Verlander","","3:21","D","39,829","+"
"7","7","Monday, Apr 8","boxscore","NYY","@","CLE","W","11","6","","3-4","2","2.0","Kuroda","Jimenez","","3:50","D","41,567","++"
"8","8","Tuesday, Apr 9","boxscore","NYY","@","CLE","W","14","1","","4-4","2","1.5","Pettitte","Carrasco","","2:47","N","12,663","+++"
"9","9","Friday, Apr 12","boxscore","NYY","","BAL","W","5","2","","5-4","1","Tied","Sabathia","Gonzalez","Rivera","2:49","N","35,033","++++"
"10","10","Saturday, Apr 13","boxscore","NYY","","BAL","L","3","5","","5-5","3","1.0","Hammel","Hughes","Johnson","2:49","D","41,851","-"
"11","11","Sunday, Apr 14","boxscore","NYY","","BAL","W","3","0","","6-5","2","1.0","Kuroda","Chen","","2:38","N","34,154","+"
"12","12","Tuesday, Apr 16","boxscore","NYY","","ARI","W","4","2","","7-5","2","1.5","Nova","McCarthy","Rivera","3:02","N","34,107","++"
"13","13","Wednesday, Apr 17","boxscore","NYY","","ARI","W","4","3","","8-5","2","1.5","Sabathia","Hernandez","Rivera","2:28","N","34,369","+++"
"14","14","Thursday, Apr 18","boxscore","NYY","","ARI","L","2","6","12","8-6","2","2.5","Bell","Phelps","","4:11","N","36,033","-"
"15","15","Friday, Apr 19","boxscore","NYY","@","TOR","W","9","4","","9-6","2","2.0","Pettitte","Morrow","","2:37","N","40,028","+"
"16","16","Saturday, Apr 20","boxscore","NYY","@","TOR","W","5","3","11","10-6","2","2.0","Kelley","Loup","Rivera","3:23","D","46,095","++"
"17","17","Sunday, Apr 21","boxscore","NYY","@","TOR","L","4","8","","10-7","2","1.5","Cecil","Logan","","3:13","D","45,575","-"
"18","18","Monday, Apr 22","boxscore","NYY","@","TBR","L","1","5","","10-8","3","2.5","Moore","Sabathia","","2:29","N","15,331","--"
"19","19","Tuesday, Apr 23","boxscore","NYY","@","TBR","W","4","3","","11-8","3","1.5","Robertson","Price","Rivera","2:53","N","17,644","+"
"20","20","Wednesday, Apr 24","boxscore","NYY","@","TBR","L","0","3","","11-9","3","2.5","Cobb","Pettitte","Rodney","2:44","N","19,177","-"
"21","21","Thursday, Apr 25","boxscore","NYY","","TOR","W","5","3","","12-9","3","2.5","Kuroda","Buehrle","Rivera","2:46","N","31,445","+"
"22","22","Friday, Apr 26","boxscore","NYY","","TOR","W","6","4","","13-9","3","2.5","Phelps","Lincoln","Rivera","3:23","N","36,151","++"
"23","23","Saturday, Apr 27","boxscore","NYY","","TOR","W","5","4","","14-9","3","2.5","Sabathia","Rogers","Chamberlain","2:53","D","40,258","+++"
"24","24","Sunday, Apr 28","boxscore","NYY","","TOR","W","3","2","","15-9","2","2.5","Logan","Dickey","Rivera","2:29","D","36,872","++++"
"25","25","Monday, Apr 29","boxscore","NYY","","HOU","L","1","9","","15-10","2","3.0","Harrell","Pettitte","","2:59","N","34,262","-"
"26","26","Tuesday, Apr 30","boxscore","NYY","","HOU","W","7","4","","16-10","2","2.0","Kuroda","Humber","Rivera","3:22","N","34,301","+"
"27","27","Wednesday, May 1","boxscore","NYY","","HOU","W","5","4","","17-10","2","2.0","Logan","Clemens","Rivera","3:08","N","34,117","++"
"28","28","Friday, May 3","boxscore","NYY","","OAK","L","0","2","","17-11","2","2.5","Griffin","Sabathia","Balfour","2:56","N","38,090","-"
"29","29","Saturday, May 4","boxscore","NYY","","OAK","W","4","2","","18-11","2","1.5","Hughes","Colon","","2:36","D","41,349","+"
"30","30","Sunday, May 5","boxscore","NYY","","OAK","L","4","5","","18-12","2","1.5","Doolittle","Logan","Balfour","3:20","D","38,134","-"
"31","31","Tuesday, May 7","boxscore","NYY","@","COL","L","0","2","","18-13","3","2.0","De La Rosa","Kuroda","Betancourt","2:47","N","41,595","--"
"32","32","Wednesday, May 8","boxscore","NYY","@","COL","W","3","2","","19-13","3","1.0","Robertson","Betancourt","Rivera","2:53","N","40,148","+"
"33","33","Thursday, May 9","boxscore","NYY","@","COL","W","3","1","","20-13","1","Tied","Warren","Francis","Rivera","2:41","D","40,972","++"
"34","34","Friday, May 10","boxscore","NYY","@","KCR","W","11","6","","21-13","1","Tied","Hughes","Davis","","3:07","N","24,521","+++"
"35","35","Saturday, May 11","boxscore","NYY","@","KCR","W","3","2","","22-13","1","up 1.0","Pettitte","Shields","Rivera","2:30","N","30,910","++++"
"36","36","Sunday, May 12","boxscore","NYY","@","KCR","W","4","2","","23-13","1","up 1.0","Kuroda","Santana","Rivera","2:37","D","29,515","+++++"
"37","37","Monday, May 13 (1)","boxscore","NYY","@","CLE","L","0","1","","23-14","1","up 1.0","Masterson","Phelps","","2:26","D","","-"
"38","38","Monday, May 13 (2)","boxscore","NYY","@","CLE","W","7","0","","24-14","1","up 1.0","Nuno","Bauer","Warren","2:56","D","23,300","+"
"39","39","Tuesday, May 14","boxscore","NYY","","SEA","W","4","3","","25-14","1","up 2.0","Kelley","Furbush","Rivera","3:21","N","41,267","++"
"40","40","Wednesday, May 15","boxscore","NYY","","SEA","L","2","12","","25-15","1","up 2.0","Iwakuma","Hughes","","2:48","N","34,081","-"
"41","41","Thursday, May 16","boxscore","NYY","","SEA","L","2","3","","25-16","1","up 1.0","Perez","Pettitte","Wilhelmsen","3:26","N","35,392","--"
"42","42","Friday, May 17","boxscore","NYY","","TOR","W","5","0","","26-16","1","up 1.0","Kuroda","Buehrle","","2:28","N","40,008","+"
"43","43","Saturday, May 18","boxscore","NYY","","TOR","W","7","2","","27-16","1","up 1.0","Phelps","Morrow","","2:36","D","45,577","++"
"44","44","Monday, May 20","boxscore","NYY","@","BAL","W","6","4","10","28-16","1","up 1.5","Robertson","Strop","Rivera","3:28","N","24,133","+++"
"45","45","Tuesday, May 21","boxscore","NYY","@","BAL","L-wo","2","3","10","28-17","1","up 1.5","Johnson","Nuno","","2:54","N","29,040","-"
"46","46","Wednesday, May 22","boxscore","NYY","@","BAL","L","3","6","","28-18","1","up 0.5","Hammel","Kuroda","","3:03","N","26,725","--"
"47","47","Friday, May 24","boxscore","NYY","@","TBR","W","9","4","","29-18","1","up 1.0","Phelps","Hernandez","","2:56","N","17,825","+"
"48","48","Saturday, May 25","boxscore","NYY","@","TBR","W","4","3","11","30-18","1","up 1.0","Nova","Lueke","Rivera","4:03","D","25,874","++"
"49","49","Sunday, May 26","boxscore","NYY","@","TBR","L","3","8","","30-19","1","Tied","Cobb","Sabathia","","2:57","D","24,159","-"
"50","50","Monday, May 27","boxscore","NYY","@","NYM","L","1","2","","30-20","2","1.0","Lyon","Robertson","Parnell","2:44","N","32,911","--"
"Rk","Gm#","Date","","Tm","","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"51","51","Tuesday, May 28","boxscore","NYY","@","NYM","L-wo","1","2","","30-21","2","1.0","Rice","Rivera","","2:54","N","31,877","---"
"52","52","Wednesday, May 29","boxscore","NYY","","NYM","L","4","9","","30-22","2","1.0","Hefner","Phelps","","3:11","N","43,681","----"
"53","53","Thursday, May 30","boxscore","NYY","","NYM","L","1","3","","30-23","2","2.0","Gee","Nuno","Parnell","2:45","N","44,207","-----"
"54","54","Friday, May 31","boxscore","NYY","","BOS","W","4","1","","31-23","2","1.0","Sabathia","Lester","Rivera","2:53","N","45,141","+"
"55","55","Saturday, Jun 1","boxscore","NYY","","BOS","L","1","11","","31-24","2","2.0","Doubront","Hughes","","3:25","N","48,784","-"
"56","56","Sunday, Jun 2","boxscore","NYY","","BOS","L","0","3","6","31-25","3","3.0","Buchholz","Kuroda","","1:58","N","43,613","--"
"57","57","Monday, Jun 3","boxscore","NYY","","CLE","W","7","4","","32-25","2","2.5","Kelley","Masterson","Rivera","2:58","N","40,007","+"
