"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Gardner  CF","4","0","1","1","0","1","5",".271",".338",".408",".746","19","13","-0.033","0.30","0.003","-0.036","-1.2","3","0","2B,SF,GDP"
"Alfonso Soriano  DH","4","0","0","0","0","1","4",".251",".283",".456",".739","21","14","-0.027","0.27","0.000","-0.027","-0.9","","",""
"Robinson Cano  2B","3","0","1","0","0","0","4",".288",".371",".489",".860","10","7","-0.016","0.23","0.004","-0.020","0.0","0","1","HBP"
"Alex Rodriguez  3B","4","0","1","0","0","1","4",".250",".250",".250",".500","17","9","0.025","0.29","0.034","-0.010","-0.4","0","3",""
"Vernon Wells  1B","4","0","3","0","0","0","4",".242",".287",".369",".656","14","8","0.101","0.40","0.103","-0.002","1.1","6","0","2·2B"
"Curtis Granderson  LF","3","0","0","0","1","1","4",".250",".362",".425",".787","14","7","-0.052","0.48","0.005","-0.057","-1.0","2","0",""
"Ichiro Suzuki  RF","4","0","1","0","0","0","4",".275",".311",".371",".681","15","10","-0.079","0.50","0.001","-0.081","-1.1","2","0",""
"Eduardo Nunez  SS","4","1","1","0","0","2","4",".224",".282",".301",".583","14","11","-0.055","0.44","0.004","-0.059","-0.4","0","2",""
"Chris Stewart  C","3","0","1","0","1","1","4",".229",".301",".290",".591","18","11","-0.012","0.18","0.004","-0.016","0.4","10","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Andy Pettitte  P","","","","","","","","","","","","","","","","","","","0","0",""
"Preston Claiborne  P","","","","","","","","","","","","","","","","","","","0","0",""
"Shawn Kelley  P","","","","","","","","","","","","","","","","","","","1","0",""
"Joba Chamberlain  P","","","","","","","","","","","","","","","","","","","0","0",""
"Boone Logan  P","","","","","","","","","","","","","","","","","","","0","0",""
