"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  CF-RF","4","0","1","0","0","0","4",".277",".327",".356",".684","16","8","-0.058","0.98","0.030","-0.088","-0.5","3","0","2·SB"
"Jayson Nix  SS","4","0","2","0","0","1","4",".241",".282",".291",".573","13","7","0.040","1.23","0.116","-0.076","0.2","1","4","SB"
"Robinson Cano  2B","4","0","0","0","0","0","4",".315",".365",".583",".948","15","10","-0.148","1.54","0.000","-0.148","-1.1","0","4",""
"Vernon Wells  LF","4","0","0","0","0","1","4",".270",".328",".468",".796","13","11","-0.124","1.21","0.000","-0.124","-1.0","4","0",""
"Ben Francisco  RF","1","0","0","0","1","0","2",".129",".270",".226",".496","10","3","-0.009","0.72","0.015","-0.024","-0.1","1","0",""
"Brett Gardner  PH-CF","1","0","0","0","1","1","2",".269",".338",".403",".742","9","5","0.023","1.31","0.059","-0.037","0.2","0","0",""
"Lyle Overbay  1B","3","0","0","0","0","1","3",".245",".282",".469",".751","17","12","-0.099","1.33","0.000","-0.099","-0.8","9","1",""
"Chris Nelson  3B","3","0","0","0","0","0","3",".211",".247",".276",".523","18","10","-0.120","1.14","0.000","-0.120","-0.9","0","1","GDP"
"Chris Stewart  C","3","0","1","0","0","0","3",".261",".300",".391",".691","10","7","-0.009","1.23","0.055","-0.064","-0.1","4","1","SB"
"Hiroki Kuroda  P","2","0","0","0","0","0","2",".000",".000",".000",".000","11","6","-0.059","1.18","0.000","-0.059","-0.5","1","0",""
"Travis Hafner  PH","1","0","0","0","0","0","1",".288",".412",".575",".987","6","5","-0.025","1.00","0.000","-0.025","-0.2","","",""
"Shawn Kelley  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
