"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  CF","4","1","2","0","0","0","4",".291",".383",".478",".861","18","10","0.020","1.10","0.079","-0.059","0.5","5","0","SB"
"Josh Reddick  RF","3","0","0","0","1","0","4",".185",".280",".298",".578","17","8","-0.025","1.15","0.054","-0.079","-0.2","0","0",""
"Yoenis Cespedes  LF","4","0","0","0","0","2","4",".236",".305",".492",".797","19","13","-0.108","0.99","0.000","-0.108","-1.2","0","0",""
"Josh Donaldson  3B","4","0","1","1","0","1","4",".328",".395",".528",".922","14","12","0.039","1.25","0.119","-0.080","0.5","1","0",""
"Jed Lowrie  2B","3","0","0","0","0","0","3",".307",".384",".425",".809","9","5","-0.150","1.19","0.000","-0.150","-1.5","8","0","GDP"
"Nate Freiman  1B","3","0","1","0","0","0","3",".272",".341",".420",".760","11","6","0.000","0.70","0.033","-0.033","0.2","3","1",""
"Seth Smith  DH","3","0","0","0","0","2","3",".271",".350",".431",".781","9","7","-0.108","1.46","0.000","-0.108","-0.8","","",""
"Derek Norris  C","3","0","0","0","0","0","3",".197",".317",".307",".624","9","6","-0.083","1.12","0.000","-0.083","-0.6","6","1",""
"Adam Rosales  SS","3","0","0","0","0","1","3",".225",".313",".392",".705","10","7","-0.062","0.77","0.000","-0.062","-0.4","0","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Tommy Milone  P","","","","","","","","","","","","","","","","","","","1","1",""
"Sean Doolittle  P","","","","","","","","","","","","","","","","","","","0","1",""
"Pat Neshek  P","","","","","","","","","","","","","","","","","","","0","0",""
