"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  CF","5","0","0","0","0","0","5",".247",".327",".386",".713","22","15","-0.172","1.40","0.000","-0.172","-1.0","2","0",""
"Seth Smith  RF","2","0","0","0","0","1","2",".246",".319",".372",".691","5","4","-0.032","0.67","0.000","-0.032","-0.3","1","0",""
"Jesse Chavez  P","1","0","0","0","0","1","1",".000",".000",".000",".000","3","3","-0.008","0.31","0.000","-0.008","-0.1","0","1",""
"Jerry Blevins  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Young  PH","0","0","0","0","1","0","1",".193",".276",".379",".654","7","3","0.049","1.22","0.049","0.000","0.2","","",""
"Ryan Cook  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Sean Doolittle  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Nate Freiman  PH","1","0","0","0","0","0","1",".273",".314",".378",".691","1","1","-0.048","2.00","0.000","-0.048","-0.1","","",""
"Jed Lowrie  SS","5","1","1","0","0","2","5",".288",".354",".416",".769","16","12","-0.070","1.02","0.038","-0.108","0.1","0","2","2B"
"Yoenis Cespedes  LF","4","0","0","0","0","1","4",".226",".296",".423",".719","16","13","-0.111","1.05","0.000","-0.111","-1.1","2","0",""
"Brandon Moss  1B","4","2","2","0","0","0","4",".244",".320",".453",".773","17","11","-0.016","1.00","0.052","-0.069","0.4","7","0",""
"Josh Donaldson  3B","4","2","2","2","0","0","4",".294",".373",".483",".855","18","12","0.112","1.05","0.168","-0.056","1.3","0","2","HR"
"Alberto Callaspo  2B","2","0","2","0","0","0","2",".248",".320",".345",".665","9","7","0.050","0.46","0.050","0.000","0.6","1","1","2·2B"
"Eric Sogard  2B","2","0","2","2","0","0","2",".278",".339",".392",".731","4","3","0.271","1.59","0.271","0.000","2.2","2","2","3B"
"Stephen Vogt  C","1","0","1","1","1","0","2",".222",".275",".417",".692","8","3","0.020","1.32","0.020","0.000","0.5","5","0","IW"
"Derek Norris  PH-C","2","0","1","0","0","0","2",".220",".327",".383",".709","7","3","-0.058","2.21","0.047","-0.105","-0.4","1","0",""
"Bartolo Colon  P","1","0","0","0","0","0","1",".000",".000",".000",".000","3","2","-0.044","1.78","0.000","-0.044","-0.4","0","0",""
"Josh Reddick  RF","3","0","0","0","0","2","3",".203",".287",".326",".613","17","12","-0.177","2.32","0.000","-0.177","-0.9","3","0",""
