"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"John Jaso  DH","4","0","2","0","0","0","4",".270",".356",".348",".705","17","9","0.024","0.99","0.072","-0.048","-0.1","","",""
"Seth Smith  LF","3","0","0","0","0","1","3",".271",".350",".430",".780","10","7","-0.079","1.11","0.000","-0.079","-0.6","3","0",""
"Luke Montz  PH-1B","1","0","0","0","0","0","1",".214",".214",".571",".786","3","1","-0.056","2.03","0.000","-0.056","-0.2","0","0",""
"Jed Lowrie  SS","3","0","0","0","1","0","4",".303",".397",".467",".864","18","12","-0.102","1.26","0.015","-0.117","-0.4","1","2",""
"Yoenis Cespedes  CF","4","0","1","0","0","0","4",".244",".326",".526",".852","15","11","-0.142","1.90","0.080","-0.222","-0.8","3","0","CS"
"Brandon Moss  1B-RF","4","0","0","0","0","3","4",".287",".385",".455",".840","20","15","-0.109","1.10","0.000","-0.109","-0.6","5","0",""
"Josh Donaldson  3B","3","0","1","0","0","0","3",".303",".386",".484",".869","17","12","-0.007","0.69","0.024","-0.031","-0.1","1","2",""
"Derek Norris  C","3","0","1","0","0","1","3",".250",".395",".328",".723","11","8","-0.053","1.05","0.016","-0.069","-0.3","6","0",""
"Eric Sogard  2B","3","0","1","0","0","0","3",".231",".294",".282",".576","7","5","-0.056","1.32","0.028","-0.083","-0.2","2","1",""
"Michael Taylor  RF-LF","3","0","0","0","0","0","3",".000",".000",".000",".000","11","7","-0.130","1.44","0.000","-0.130","-0.9","3","0","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Tommy Milone  P","","","","","","","","","","","","","","","","","","","0","1",""
"Pat Neshek  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jerry Blevins  P","","","","","","","","","","","","","","","","","","","0","0",""
