"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  CF","4","2","2","1","0","0","4",".259",".331",".442",".773","14","8","0.105","0.59","0.127","-0.022","1.4","1","0","HR"
"Michael Choice  CF","2","0","1","0","0","1","2",".222",".300",".333",".633","6","5","0.000","0.00","0.000","0.000","0.5","1","0","2B"
"Josh Donaldson  3B","3","2","2","1","0","0","4",".299",".374",".495",".869","9","5","0.035","0.48","0.050","-0.015","1.5","0","1","HBP"
"Andy Parrino  PR-3B","2","1","0","0","0","1","2",".111",".172",".148",".321","17","11","0.000","0.00","0.000","0.000","-0.5","1","1",""
"Jed Lowrie  SS","4","2","2","4","0","0","4",".287",".343",".440",".784","14","9","0.000","0.48","0.022","-0.022","3.1","1","1","HR,2B"
"Jemile Weeks  2B","2","1","0","0","0","0","2",".000",".000",".000",".000","6","5","0.000","0.00","0.000","0.000","0.1","3","1",""
"Brandon Moss  RF-LF","5","3","3","2","1","1","6",".255",".338",".502",".840","33","19","0.115","0.36","0.133","-0.018","1.8","0","0","2·2B,CS"
"Yoenis Cespedes  LF","3","1","2","3","0","0","3",".241",".299",".435",".734","11","8","0.094","0.71","0.110","-0.016","2.0","0","0","2·2B"
"Josh Reddick  RF","2","0","1","0","1","0","3",".215",".300",".366",".665","14","7","0.000","0.00","0.000","0.000","1.0","2","0","2B"
"Daric Barton  1B","4","1","3","2","0","0","5",".283",".348",".383",".731","16","8","-0.009","0.38","0.030","-0.039","1.0","5","0","SF"
"Nate Freiman  1B","1","0","0","0","0","0","1",".282",".333",".403",".737","5","3","0.000","0.00","0.000","0.000","-1.1","0","1","GDP"
"Seth Smith  DH","4","2","2","1","2","0","6",".244",".322",".380",".702","29","15","0.095","0.38","0.095","0.000","1.7","","","2B"
"Stephen Vogt  C","6","2","3","3","0","2","6",".273",".314",".445",".759","21","13","0.010","0.47","0.051","-0.041","2.2","10","0","HR"
"Eric Sogard  2B-SS","5","1","1","1","0","1","5",".267",".323",".372",".695","16","12","-0.014","0.46","0.025","-0.039","-0.9","1","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Sonny Gray  P","","","","","","","","","","","","","","","","","","","1","1",""
"Tommy Milone  P","","","","","","","","","","","","","","","","","","","0","0",""
"Pedro Figueroa  P","","","","","","","","","","","","","","","","","","","0","0",""
"Pat Neshek  P","","","","","","","","","","","","","","","","","","","0","1",""
"Evan Scribner  P","","","","","","","","","","","","","","","","","","","1","0",""
