"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"John Jaso  C","3","0","1","0","1","0","4",".262",".340",".345",".686","16","9","0.028","0.75","0.056","-0.029","0.1","6","1",""
"Jed Lowrie  DH","4","0","0","0","0","1","4",".327",".406",".504",".911","14","10","-0.111","1.12","0.000","-0.111","-1.0","","",""
"Yoenis Cespedes  CF","4","1","2","0","0","2","4",".239",".338",".478",".815","20","13","-0.027","0.71","0.029","-0.056","0.1","1","0",""
"Brandon Moss  1B","3","0","1","0","1","1","4",".290",".394",".462",".857","23","16","0.041","0.88","0.084","-0.043","0.6","11","0",""
"Josh Donaldson  3B","4","1","0","0","0","1","4",".301",".380",".469",".849","16","12","-0.162","1.21","0.000","-0.162","-1.4","0","0","GDP"
"Seth Smith  LF","4","0","2","1","0","1","4",".295",".380",".474",".853","12","8","0.058","0.77","0.094","-0.036","1.1","1","0","2B"
"Josh Reddick  RF","3","0","0","1","1","1","4",".138",".260",".230",".490","15","11","-0.049","1.31","0.055","-0.103","0.0","4","0",""
"Adam Rosales  SS","4","0","0","0","0","2","4",".290",".353",".452",".805","15","10","-0.127","1.23","0.000","-0.127","-1.1","0","3",""
"Eric Sogard  2B","3","0","0","0","0","0","3",".233",".300",".288",".588","9","7","-0.078","1.05","0.000","-0.078","-0.7","1","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Bartolo Colon  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jerry Blevins  P","","","","","","","","","","","","","","","","","","","0","1",""
"Chris Resop  P","","","","","","","","","","","","","","","","","","","0","0",""
"Evan Scribner  P","","","","","","","","","","","","","","","","","","","0","0",""
