"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Chris Young  CF","4","1","1","1","1","2","5",".196",".284",".388",".672","27","17","0.102","0.60","0.133","-0.031","0.8","3","0","HR"
"Jed Lowrie  SS","3","0","0","0","0","0","4",".286",".351",".418",".769","10","8","-0.072","0.90","0.000","-0.072","-0.8","1","2","SH"
"Josh Donaldson  DH","4","1","1","0","0","1","4",".296",".375",".482",".858","19","12","0.017","1.20","0.082","-0.065","-0.3","","",""
"Yoenis Cespedes  LF","4","0","0","0","0","2","4",".225",".292",".423",".715","11","9","-0.135","1.36","0.000","-0.135","-0.9","2","0",""
"Nate Freiman  1B","3","0","1","0","0","0","3",".268",".306",".369",".675","9","7","-0.014","0.90","0.033","-0.047","-0.1","6","1",""
"Brandon Moss  PH-1B","1","1","1","0","0","0","1",".242",".316",".456",".772","2","1","0.218","3.03","0.218","0.000","0.9","1","0","2B"
"Josh Reddick  RF","2","1","0","0","2","0","4",".214",".301",".383",".684","22","11","0.014","1.69","0.050","-0.036","0.5","0","0","IW"
"Alberto Callaspo  3B","4","1","2","2","0","1","4",".255",".326",".358",".684","16","9","0.207","2.15","0.266","-0.059","1.4","2","1","2·2B"
"Stephen Vogt  C","4","0","1","1","0","1","4",".265",".315",".429",".743","23","16","-0.081","1.15","0.023","-0.103","-0.2","7","1",""
"Eric Sogard  2B","3","0","0","1","0","1","4",".273",".332",".382",".714","12","10","-0.072","0.85","0.007","-0.079","-0.7","5","2","SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Dan Straily  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ryan Cook  P","","","","","","","","","","","","","","","","","","","0","0",""
"Sean Doolittle  P","","","","","","","","","","","","","","","","","","","0","1",""
