"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brad Miller  SS","5","0","0","0","0","1","5",".240",".319",".394",".713","14","10","-0.047","0.37","0.000","-0.047","-1.2","1","2",""
"Nick Franklin  2B","4","1","1","0","0","2","4",".276",".338",".492",".830","14","10","0.012","0.43","0.040","-0.028","-0.2","2","4","2B"
"Kyle Seager  3B","4","0","2","0","0","1","4",".295",".358",".482",".839","18","10","-0.013","0.47","0.021","-0.033","-0.1","0","3",""
"Kendrys Morales  DH","4","0","2","1","0","1","4",".280",".339",".466",".804","21","15","0.090","0.60","0.107","-0.017","0.9","","",""
"Raul Ibanez  LF","4","0","1","0","0","2","4",".252",".307",".532",".839","16","13","0.000","0.61","0.038","-0.038","-0.0","0","1",""
"Mike Morse  RF","4","0","0","0","0","3","4",".246",".307",".445",".753","20","16","-0.078","0.80","0.000","-0.078","-1.4","0","0",""
"Justin Smoak  1B","4","1","1","0","0","1","4",".258",".358",".406",".764","17","11","-0.060","0.59","0.000","-0.060","-0.9","14","2",""
"Michael Saunders  CF","2","0","0","0","2","0","4",".227",".313",".373",".686","20","8","-0.007","0.31","0.014","-0.021","-0.1","1","1",""
"Henry Blanco  C","4","0","1","1","0","1","4",".171",".253",".256",".509","13","9","-0.036","0.34","0.001","-0.037","0.5","5","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Joe Saunders  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brandon Maurer  P","","","","","","","","","","","","","","","","","","","1","1",""
