"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brad Miller  SS","3","1","0","0","1","1","4",".261",".346",".478",".824","16","9","0.111","1.32","0.183","-0.072","0.4","1","3",""
"Nick Franklin  2B","3","0","0","1","0","2","4",".265",".330",".444",".774","16","9","-0.068","1.08","0.000","-0.068","-0.6","1","4","SF"
"Raul Ibanez  LF","3","0","0","0","1","3","4",".263",".311",".565",".876","23","12","-0.013","0.48","0.018","-0.031","-0.2","0","0",""
"Kendrys Morales  DH","3","0","0","0","1","1","4",".277",".337",".457",".793","19","12","-0.017","0.91","0.048","-0.064","-0.2","","",""
"Kyle Seager  3B","4","0","0","0","0","1","4",".289",".353",".487",".840","19","11","-0.106","1.11","0.000","-0.106","-1.0","0","3",""
"Justin Smoak  1B","3","1","0","0","1","3","4",".268",".371",".435",".806","16","10","-0.012","0.84","0.042","-0.054","-0.3","10","1",""
"Jason Bay  RF","2","0","0","0","0","0","2",".212",".308",".409",".717","7","4","-0.056","1.05","0.000","-0.056","-0.4","1","0",""
"Dustin Ackley  PH-CF","2","0","0","0","0","1","2",".205",".272",".259",".531","7","5","-0.052","1.10","0.000","-0.052","-0.4","1","0",""
"Mike Zunino  C","2","1","0","0","1","2","3",".220",".294",".286",".580","17","9","-0.014","1.13","0.034","-0.048","-0.2","9","0",""
"Michael Saunders  CF-RF","2","1","1","2","1","1","3",".228",".309",".367",".676","15","8","0.416","1.78","0.428","-0.012","2.5","2","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Hisashi Iwakuma  P","","","","","","","","","","","","","","","","","","","2","2",""
"Charlie Furbush  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tom Wilhelmsen  P","","","","","","","","","","","","","","","","","","","0","1",""
