"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Saunders  CF","4","0","1","0","0","1","4",".281",".338",".561",".900","13","10","-0.077","1.08","0.023","-0.100","-0.4","2","0","SB"
"Jason Bay  LF","2","0","0","0","2","1","4",".254",".363",".433",".795","19","9","-0.016","1.02","0.038","-0.054","0.1","0","0",""
"Kyle Seager  3B","4","0","1","0","0","0","4",".291",".345",".488",".834","14","9","-0.079","1.11","0.017","-0.096","-0.6","0","1",""
"Mike Morse  RF","4","0","0","0","0","3","4",".226",".288",".478",".766","19","13","-0.089","0.87","0.000","-0.089","-0.8","5","0",""
"Justin Smoak  1B","4","0","1","0","0","2","4",".236",".344",".309",".653","18","13","-0.031","0.80","0.030","-0.061","-0.3","5","1",""
"Dustin Ackley  2B","4","1","1","0","0","0","4",".248",".287",".303",".590","16","10","-0.035","0.73","0.038","-0.073","-0.4","1","0","GDP"
"Kelly Shoppach  C","3","0","0","0","0","2","3",".260",".362",".420",".782","8","7","-0.065","1.07","0.000","-0.065","-0.5","9","0",""
"Brendan Ryan  SS","2","0","0","0","0","0","2",".137",".220",".137",".356","4","3","-0.040","0.85","0.000","-0.040","-0.3","0","1",""
"Jesus Montero  PH","0","0","0","0","0","0","0",".203",".250",".324",".574","","","0.000","0.00","0.000","0.000","0.0","","",""
"Raul Ibanez  PH","1","0","1","1","0","0","1",".180",".242",".361",".603","2","1","0.122","1.45","0.122","0.000","1.0","","","2B"
"Robert Andino  PR-SS","0","0","0","0","0","0","0",".179",".220",".232",".452","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Aaron Harang  P","2","0","0","0","0","2","2",".000",".000",".000",".000","10","6","-0.026","0.54","0.000","-0.026","-0.2","1","0",""
"Endy Chavez  PH","1","0","0","0","0","0","1",".283",".290",".317",".607","3","2","-0.064","2.37","0.000","-0.064","-0.3","","",""
"Charlie Furbush  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Carter Capps  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","1",""
