"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brad Miller  SS","4","0","0","0","0","2","4",".250",".319",".429",".747","13","10","-0.224","1.78","0.000","-0.224","-1.7","0","1",""
"Nick Franklin  2B","3","1","0","0","1","1","4",".239",".307",".422",".729","17","11","-0.057","1.47","0.061","-0.118","-0.7","1","3",""
"Kyle Seager  3B","3","1","1","2","1","0","4",".283",".353",".467",".819","16","11","0.471","1.35","0.509","-0.038","1.7","1","2","HR"
"Kendrys Morales  DH","4","0","0","0","0","2","4",".291",".346",".468",".814","25","16","-0.106","1.08","0.000","-0.106","-0.8","","",""
"Mike Morse  RF","4","0","0","0","0","0","4",".236",".294",".425",".719","14","8","-0.079","0.74","0.000","-0.079","-0.6","2","1",""
"Michael Saunders  RF-LF","0","0","0","0","0","0","0",".224",".314",".382",".696","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Raul Ibanez  LF","3","0","0","0","1","2","4",".251",".303",".510",".813","18","9","0.011","1.02","0.070","-0.060","-0.2","3","1",""
"Endy Chavez  RF","0","0","0","0","0","0","0",".270",".292",".335",".627","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Justin Smoak  1B","3","1","2","1","1","0","4",".273",".368",".453",".821","17","8","0.163","1.49","0.229","-0.065","1.8","7","0","HR"
"Dustin Ackley  CF","4","0","0","0","0","1","4",".228",".283",".295",".578","14","9","-0.139","1.47","0.000","-0.139","-1.1","1","0",""
"Humberto Quintero  C","4","0","1","0","0","1","4",".250",".291",".413",".704","13","11","0.019","1.06","0.069","-0.050","0.3","12","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Hisashi Iwakuma  P","","","","","","","","","","","","","","","","","","","0","0",""
"Oliver Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Yoervis Medina  P","","","","","","","","","","","","","","","","","","","0","1",""
"Charlie Furbush  P","","","","","","","","","","","","","","","","","","","0","0",""
"Danny Farquhar  P","","","","","","","","","","","","","","","","","","","0","0",""
