"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Matthew Joyce  RF","4","0","1","0","0","2","4",".266",".350",".513",".863","12","9","-0.014","0.39","0.019","-0.032","-0.4","1","0","2B"
"Ben Zobrist  2B","4","0","1","0","0","0","4",".246",".339",".357",".696","8","5","-0.031","0.46","0.012","-0.043","-0.3","3","3",""
"Kelly Johnson  LF","3","0","0","0","0","1","3",".275",".340",".515",".855","13","8","-0.045","0.46","0.000","-0.045","-1.1","1","0","GDP"
"Sean Rodriguez  PH","1","0","0","0","0","1","1",".254",".338",".429",".767","6","4","0.000","0.00","0.000","0.000","-0.2","","",""
"Evan Longoria  3B","4","1","1","0","0","1","4",".304",".359",".531",".890","15","9","0.085","0.33","0.095","-0.010","0.6","0","3","3B"
"James Loney  1B","3","0","1","0","0","1","3",".326",".393",".522",".915","17","11","-0.044","0.46","0.006","-0.050","-0.6","8","0",""
"Desmond Jennings  CF","2","0","0","1","0","2","3",".252",".317",".413",".730","14","10","0.009","0.62","0.021","-0.012","-0.2","3","0","SF"
"Luke Scott  DH","3","0","0","0","0","2","3",".235",".352",".365",".717","14","8","-0.023","0.29","0.000","-0.023","-0.4","","",""
"Jose Molina  C","3","0","0","0","0","0","3",".242",".274",".333",".607","12","7","-0.031","0.40","0.000","-0.031","-0.6","8","0",""
"Yunel Escobar  SS","2","0","0","0","1","0","3",".243",".299",".381",".681","10","4","-0.009","0.26","0.006","-0.015","-0.2","0","6",""
"","","","","","","","","","","","","","","","","","","","","",""
"Matt Moore  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alex Torres  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kyle Farnsworth  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cesar Ramos  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jamey Wright  P","","","","","","","","","","","","","","","","","","","0","0",""
