"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"David DeJesus  CF","4","0","1","0","1","1","5",".255",".333",".403",".736","19","10","-0.009","0.73","0.050","-0.059","-0.7","2","0",""
"Ben Zobrist  2B-SS","4","0","1","0","0","1","4",".271",".350",".408",".759","12","9","-0.027","0.76","0.023","-0.050","-0.5","1","4",""
"Evan Longoria  DH","4","0","0","0","0","2","4",".273",".348",".522",".870","18","13","-0.111","0.88","0.000","-0.111","-1.4","","","GDP"
"Matthew Joyce  LF","3","1","3","0","1","0","4",".259",".347",".467",".814","19","10","0.080","0.42","0.080","0.000","1.5","2","0","2·2B"
"Wil Myers  RF","4","0","0","0","0","2","4",".296",".350",".463",".813","25","17","-0.076","0.73","0.000","-0.076","-1.4","2","0",""
"James Loney  1B","4","0","1","1","0","0","4",".303",".353",".427",".780","14","8","-0.009","0.65","0.038","-0.047","-0.0","11","1",""
"Jose Lobaton  C","4","0","1","0","0","1","4",".265",".322",".420",".742","17","11","0.030","0.54","0.064","-0.034","0.3","4","0","2B"
"Kelly Johnson  3B","4","0","0","0","0","1","4",".251",".316",".445",".762","16","9","-0.090","0.66","0.000","-0.090","-1.3","1","1",""
"Yunel Escobar  SS","1","0","0","0","1","0","2",".263",".330",".370",".699","7","3","-0.002","1.08","0.016","-0.018","0.0","1","1",""
"Sean Rodriguez  PH-2B","1","0","0","0","1","0","2",".247",".313",".364",".677","12","6","-0.001","0.01","0.000","-0.001","-0.0","0","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Hellickson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cesar Ramos  P","","","","","","","","","","","","","","","","","","","0","1",""
"Wesley Wright  P","","","","","","","","","","","","","","","","","","","0","1",""
