"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ben Zobrist  2B","3","1","1","2","2","1","5",".249",".347",".368",".715","17","6","0.089","1.01","0.142","-0.053","1.4","1","4","2B"
"Matthew Joyce  RF","4","1","1","2","1","1","5",".264",".348",".507",".855","21","10","0.276","0.98","0.346","-0.070","1.3","1","0","HR,SB"
"Kelly Johnson  LF","4","0","0","0","0","1","4",".290",".349",".548",".897","18","11","-0.070","0.72","0.000","-0.070","-0.8","3","0",""
"Joel Peralta  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Josh Lueke  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Ryan Roberts  PH","1","0","0","0","0","0","1",".232",".283",".357",".640","3","2","-0.004","0.15","0.000","-0.004","-0.3","","",""
"Fernando Rodney  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","2","1",""
"Evan Longoria  3B","5","0","1","0","0","2","5",".311",".370",".529",".899","16","11","-0.025","0.61","0.032","-0.058","-0.7","0","3",""
"James Loney  1B","3","1","1","1","1","1","4",".329",".392",".500",".892","15","8","0.047","0.94","0.128","-0.080","0.5","9","2","HR,GDP,IW"
"Desmond Jennings  CF","3","0","1","0","1","0","4",".255",".324",".418",".743","17","9","0.011","0.77","0.053","-0.042","0.6","2","0","2B"
"Yunel Escobar  SS","3","0","0","0","1","0","4",".228",".286",".359",".645","11","4","-0.014","1.01","0.044","-0.058","-0.7","0","1",""
"Jose Molina  C","4","1","1","0","0","2","4",".247",".280",".344",".624","10","10","-0.074","0.99","0.022","-0.096","-0.6","9","1",""
"Alex Colome  P","2","0","0","0","0","1","2",".000",".000",".000",".000","8","7","-0.069","1.44","0.000","-0.069","-0.5","0","0",""
"Jake McGee  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Luke Scott  PH","0","0","0","0","1","0","1",".268",".389",".423",".811","7","3","0.006","0.95","0.006","0.000","0.1","","",""
"Jamey Wright  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Sam Fuld  LF","0","1","0","0","1","0","1",".162",".253",".191",".444","6","2","0.032","0.93","0.032","0.000","0.6","0","0",""
