"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Matthew Joyce  LF","4","0","0","0","0","1","4",".253",".331",".489",".820","14","11","-0.140","1.09","0.000","-0.140","-1.1","3","0","GDP"
"Desmond Jennings  CF","3","0","0","0","1","1","4",".256",".321",".433",".753","15","8","0.039","0.89","0.079","-0.040","0.1","2","0","SB"
"Ben Zobrist  2B","3","0","0","0","0","1","3",".271",".362",".385",".748","8","6","-0.084","1.20","0.000","-0.084","-0.5","0","5",""
"Evan Longoria  3B","3","0","0","0","0","2","3",".299",".368",".551",".920","11","8","-0.105","1.44","0.000","-0.105","-0.7","0","4",""
"James Loney  1B","3","0","1","0","0","0","3",".309",".364",".475",".840","9","7","-0.026","1.12","0.038","-0.064","-0.2","11","1",""
"Wil Myers  RF","3","0","0","0","0","0","3",".268",".286",".439",".725","7","7","-0.095","1.30","0.000","-0.095","-0.6","1","0",""
"Luke Scott  DH","3","0","0","0","0","0","3",".236",".325",".386",".711","10","7","-0.086","1.12","0.000","-0.086","-0.6","","",""
"Jose Molina  C","2","0","0","0","0","0","2",".263",".309",".328",".637","8","6","-0.051","1.03","0.000","-0.051","-0.4","6","0",""
"Sam Fuld  PH","1","0","0","0","0","0","1",".179",".252",".284",".537","2","2","-0.015","0.60","0.000","-0.015","-0.1","","",""
"Jose Lobaton  C","0","0","0","0","0","0","0",".263",".322",".414",".735","","","0.000","0.00","0.000","0.000","0.0","2","0",""
"Yunel Escobar  SS","3","0","1","0","0","1","3",".245",".301",".358",".659","9","6","0.007","0.75","0.040","-0.033","-0.1","2","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Roberto Hernandez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jamey Wright  P","","","","","","","","","","","","","","","","","","","0","0",""
