"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Elvis Andrus  SS","4","0","1","0","0","0","5",".271",".322",".329",".650","14","11","-0.196","1.62","0.007","-0.203","-1.0","0","2","SH"
"David Murphy  LF","4","0","0","0","0","0","4",".218",".266",".382",".647","10","8","-0.104","1.01","0.000","-0.104","-0.9","4","0",""
"Lance Berkman  1B","2","2","1","0","2","0","4",".288",".397",".438",".834","13","4","0.092","0.73","0.101","-0.010","0.9","5","0",""
"Mitch Moreland  PR-1B","0","0","0","0","0","0","0",".287",".332",".545",".877","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Adrian Beltre  3B","4","2","2","0","0","0","4",".288",".333",".500",".833","8","6","0.117","1.35","0.196","-0.079","0.5","0","0","2B,GDP"
"A.J. Pierzynski  C","3","0","2","2","0","0","4",".274",".311",".398",".710","7","5","0.169","1.52","0.190","-0.022","1.2","14","1","SF"
"Craig Gentry  CF","4","0","0","1","0","0","4",".233",".317",".344",".661","9","6","0.024","1.91","0.096","-0.072","0.2","1","0",""
"Leonys Martin  RF","3","0","0","0","1","0","4",".272",".321",".427",".749","12","7","-0.009","1.04","0.058","-0.067","-0.4","1","0",""
"Leury Garcia  2B","4","0","1","0","0","2","4",".214",".233",".262",".494","17","11","-0.039","1.44","0.073","-0.112","-0.1","0","2",""
"Yu Darvish  P","3","0","0","0","0","2","3",".000",".000",".000",".000","15","9","-0.080","0.93","0.000","-0.080","-0.7","0","0",""
"Michael Kirkman  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jeff Baker  PH","1","0","1","0","0","0","1",".373",".458",".725","1.183","7","4","0.071","2.23","0.071","0.000","0.3","","",""
"Jason Frasor  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Robbie Ross  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
