"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","4","1","2","1","0","0","4",".309",".387",".582",".969","10","7","0.055","0.48","0.077","-0.022","0.7","1","4","HR,GDP"
"Elvis Andrus  SS","4","0","0","0","0","1","4",".224",".297",".293",".590","14","8","-0.097","0.61","0.000","-0.097","-1.3","2","2","GDP"
"Adrian Beltre  3B","3","0","0","0","0","0","3",".232",".283",".393",".676","11","5","-0.024","0.32","0.000","-0.024","-0.4","4","1",""
"Nelson Cruz  RF","3","1","2","1","0","1","3",".298",".333",".474",".807","12","7","0.048","0.42","0.053","-0.006","1.3","0","0","HR"
"A.J. Pierzynski  C","3","0","0","0","0","0","3",".289",".313",".467",".779","8","5","-0.096","0.78","0.000","-0.096","-1.0","8","0",""
"David Murphy  LF","3","0","0","0","0","1","3",".151",".196",".264",".461","16","10","-0.031","0.41","0.000","-0.031","-0.5","0","0",""
"Mitch Moreland  1B","3","0","0","0","0","2","3",".163",".222",".306",".528","13","9","-0.037","0.50","0.000","-0.037","-0.5","7","2",""
"Leonys Martin  CF","2","0","0","0","1","1","3",".192",".300",".192",".492","18","9","-0.003","0.39","0.017","-0.020","0.1","1","0",""
"Alexi Ogando  P","1","0","0","0","0","1","1",".000",".000",".000",".000","3","3","-0.011","0.45","0.000","-0.011","-0.1","1","0",""
"Derek Lowe  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jeff Baker  PH","1","0","0","0","0","1","1",".300",".417",".400",".817","4","4","-0.016","0.72","0.000","-0.016","-0.3","","",""
"Joe Ortiz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jason Frasor  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Leury Garcia  PH","1","0","0","0","0","1","1",".250",".333",".500",".833","3","3","-0.008","0.31","0.000","-0.008","-0.2","","",""
