"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","5","2","3","1","0","0","5",".324",".387",".544",".931","22","14","0.170","0.47","0.187","-0.017","1.7","3","4","HR,2B"
"Elvis Andrus  SS","5","1","3","0","0","0","5",".266",".301",".331",".632","19","12","0.055","0.56","0.093","-0.038","1.0","3","0","SB"
"Adrian Beltre  3B","4","0","2","1","1","0","5",".242",".296",".424",".720","14","9","0.056","0.74","0.083","-0.027","1.2","1","3",""
"Nelson Cruz  RF","5","0","0","0","0","3","5",".270",".336",".476",".812","20","15","-0.098","0.78","0.000","-0.098","-2.0","2","0",""
"Mitch Moreland  1B","4","1","2","2","1","1","5",".287",".341",".504",".846","22","12","0.204","0.72","0.225","-0.021","1.5","8","0","HR,GDP"
"Geovany Soto  C","3","0","0","0","1","1","4",".212",".297",".273",".570","19","9","-0.075","0.90","0.006","-0.081","-0.8","7","2",""
"David Murphy  LF","4","0","1","0","0","2","4",".185",".235",".306",".540","17","14","-0.080","1.08","0.019","-0.099","-1.3","1","0","2B"
"Leonys Martin  CF","3","0","1","0","0","0","3",".254",".329",".333",".662","5","4","-0.022","0.56","0.013","-0.035","-0.3","2","1",""
"Craig Gentry  PH-CF","1","0","0","0","0","0","1",".237",".318",".407",".725","5","2","-0.006","0.22","0.000","-0.006","-0.2","0","0",""
"Derek Holland  P","3","0","0","0","0","2","3",".000",".250",".000",".250","10","8","-0.044","0.58","0.000","-0.044","-0.7","0","1",""
"Lance Berkman  PH","1","0","0","0","0","0","1",".297",".434",".440",".873","3","2","-0.004","0.15","0.000","-0.004","-0.1","","",""
"Tanner Scheppers  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Joe Nathan  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
