"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","5","0","1","0","0","1","5",".301",".370",".466",".837","23","17","-0.047","0.91","0.041","-0.088","-0.9","3","3",""
"Elvis Andrus  SS","4","1","1","0","0","0","4",".240",".295",".284",".579","23","16","-0.048","0.82","0.018","-0.066","-0.5","1","1",""
"Nelson Cruz  RF","4","1","2","2","0","1","4",".271",".332",".528",".860","10","8","0.204","0.74","0.225","-0.021","1.7","4","0","HR"
"Adrian Beltre  3B","4","1","1","0","0","0","4",".302",".344",".502",".846","11","9","0.001","0.77","0.068","-0.067","-0.3","0","5","2B,GDP"
"A.J. Pierzynski  C","4","1","1","2","0","0","4",".303",".337",".472",".808","9","6","0.126","0.69","0.159","-0.033","0.9","4","0","HR"
"Mitch Moreland  1B","3","0","0","0","1","2","4",".283",".335",".551",".886","16","8","-0.027","0.55","0.016","-0.044","-0.3","9","0",""
"David Murphy  LF","4","0","1","0","0","0","4",".220",".274",".380",".654","13","8","-0.013","0.51","0.022","-0.035","-0.3","3","0",""
"Leonys Martin  CF","4","0","2","0","0","1","4",".283",".337",".422",".759","14","12","-0.009","0.55","0.022","-0.031","-0.2","3","0",""
"Martin Perez  P","3","0","0","0","0","2","3",".000",".000",".000",".000","9","8","-0.019","0.84","0.018","-0.037","-0.1","0","1",""
"Tanner Scheppers  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jurickson Profar  PH","1","0","0","0","0","1","1",".266",".320",".372",".693","7","6","-0.005","0.17","0.000","-0.005","-0.1","","",""
"Joe Nathan  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
