"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","4","1","2","0","2","0","6",".272",".339",".406",".744","25","14","-0.024","0.54","0.023","-0.047","1.0","3","4","SB"
"Elvis Andrus  SS","6","2","2","3","0","0","6",".272",".331",".336",".666","37","25","0.265","0.66","0.293","-0.029","0.9","3","3","HR,GDP"
"Alex Rios  RF","5","1","2","2","0","0","5",".278",".326",".428",".754","20","14","0.181","0.56","0.204","-0.022","0.9","1","0","HR,SB"
"Adrian Beltre  3B","4","1","1","0","1","1","5",".316",".373",".508",".881","23","12","-0.029","0.46","0.015","-0.043","0.3","0","2","2B,IW"
"Jeff Baker  DH","2","0","1","0","0","1","2",".282",".353",".557",".910","5","5","-0.020","0.68","0.009","-0.029","-0.2","","",""
"Jim Adduci  PH","3","0","0","0","0","0","3",".267",".313",".300",".613","10","7","-0.018","0.20","0.000","-0.018","-1.3","","",""
"Geovany Soto  C","4","1","1","1","1","2","5",".234",".318",".442",".759","25","13","-0.041","0.40","0.007","-0.049","0.3","9","2","HR"
"Craig Gentry  CF-LF","5","1","4","1","0","1","5",".259",".360",".373",".733","16","12","0.064","0.48","0.081","-0.016","2.6","2","0","3B,3·SB"
"Joey Butler  LF","4","0","0","0","0","3","4",".333",".467",".500",".967","15","11","-0.054","0.55","0.000","-0.054","-1.2","0","0",""
"Leonys Martin  CF","1","0","0","0","0","1","1",".262",".316",".389",".705","3","3","-0.001","0.02","0.000","-0.001","-0.5","2","0",""
"Mitch Moreland  1B","5","1","3","1","0","1","5",".239",".305",".461",".766","21","10","0.109","0.45","0.130","-0.022","0.9","7","0","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Yu Darvish  P","","","","","","","","","","","","","","","","","","","0","0",""
"Robbie Ross  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tanner Scheppers  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Nathan  P","","","","","","","","","","","","","","","","","","","0","0",""
