"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Reyes  SS","4","0","0","0","0","0","4",".288",".343",".418",".760","10","8","-0.051","0.52","0.000","-0.051","-0.6","3","7",""
"Ryan Goins  2B","4","1","1","0","0","0","4",".342",".359",".395",".754","10","7","-0.031","0.49","0.010","-0.041","-0.1","1","7",""
"Edwin Encarnacion  1B","3","1","1","2","0","0","4",".275",".371",".538",".909","8","6","0.033","0.39","0.053","-0.021","1.5","14","0","HR,HBP"
"Brett Lawrie  3B","4","0","0","0","0","0","4",".252",".313",".416",".729","9","8","-0.048","0.47","0.000","-0.048","-0.7","0","1",""
"Moises Sierra  RF","4","1","1","0","0","1","4",".207",".314",".276",".590","14","10","0.013","0.47","0.044","-0.031","-0.2","2","0","2B"
"Josh Thole  C","4","0","0","0","0","1","4",".141",".240",".217",".458","17","10","-0.054","0.56","0.000","-0.054","-0.7","4","1",""
"Kevin Pillar  LF","3","1","1","1","0","0","3",".167",".245",".250",".495","12","7","0.086","0.67","0.101","-0.015","0.7","2","0",""
"Anthony Gose  CF","3","0","1","1","0","0","3",".243",".284",".329",".612","7","5","0.090","0.61","0.117","-0.027","0.7","1","0","3B"
"Esmil Rogers  P","2","0","0","0","0","0","2",".000",".000",".000",".000","4","4","-0.039","0.76","0.000","-0.039","-0.5","0","1",""
"Sergio Santos  P","1","0","0","0","0","0","1",".000",".000",".000",".000","2","2","-0.008","0.33","0.000","-0.008","-0.1","0","1",""
"Steve Delabar  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Aaron Loup  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Casey Janssen  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
