"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Melky Cabrera  LF","4","0","1","1","0","1","4",".261",".301",".333",".634","9","7","0.060","0.79","0.107","-0.047","0.3","1","1",""
"Jose Bautista  RF","3","0","2","0","1","1","4",".236",".351",".491",".842","17","10","0.026","0.54","0.042","-0.015","0.4","1","0",""
"Edwin Encarnacion  DH","3","0","0","0","1","0","4",".218",".304",".444",".748","13","8","-0.009","0.83","0.028","-0.037","-0.2","","",""
"J.P. Arencibia  C","4","0","0","0","0","1","4",".239",".255",".493",".748","19","14","-0.130","1.27","0.000","-0.130","-1.6","9","0",""
"Adam Lind  1B","4","2","3","1","0","0","4",".269",".405",".433",".838","16","11","0.387","1.09","0.400","-0.012","1.5","8","1","HR"
"Brett Lawrie  3B","4","0","1","0","0","0","4",".176",".240",".308",".548","7","6","-0.084","0.93","0.024","-0.108","-0.9","0","1","CS,GDP"
"Colby Rasmus  CF","3","1","1","1","1","1","4",".237",".310",".439",".748","19","10","0.092","0.96","0.130","-0.038","0.6","4","0",""
"Emilio Bonifacio  2B","4","0","0","0","0","2","4",".157",".193",".265",".458","15","10","-0.098","0.84","0.000","-0.098","-1.1","1","3","GDP"
"Munenori Kawasaki  SS","3","0","0","0","0","0","3",".246",".338",".295",".633","7","5","-0.046","0.78","0.000","-0.046","-0.5","2","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Mark Buehrle  P","","","","","","","","","","","","","","","","","","","1","1",""
"Darren Oliver  P","","","","","","","","","","","","","","","","","","","0","0",""
"Casey Janssen  P","","","","","","","","","","","","","","","","","","","0","1",""
