"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nick Markakis  RF","3","0","0","0","0","1","3",".292",".353",".396",".749","14","9","-0.037","0.50","0.000","-0.037","-0.5","1","0",""
"Delmon Young  PH-LF","1","0","1","0","0","0","1",".311",".339",".429",".767","3","2","0.001","0.03","0.001","0.000","0.4","0","0",""
"Steve Pearce  LF-RF","4","0","0","0","0","2","4",".313",".383",".561",".943","15","11","-0.040","0.41","0.000","-0.040","-0.8","0","0",""
"Adam Jones  CF","4","0","0","0","0","1","4",".298",".324",".485",".809","7","6","-0.026","0.26","0.000","-0.026","-0.5","1","0",""
"David Lough  CF","0","0","0","0","0","0","0",".197",".271",".308",".579","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Nelson Cruz  DH","4","1","0","0","0","0","4",".279",".344",".553",".897","15","9","-0.028","0.32","0.002","-0.030","0.5","","",""
"Chris Davis  1B","3","1","0","0","1","2","4",".202",".312",".401",".713","18","9","0.011","0.33","0.028","-0.017","-0.7","9","0",""
"Steve Clevenger  C","0","0","0","0","0","0","0",".240",".296",".373",".670","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"J.J. Hardy  SS","2","0","1","1","1","0","3",".285",".318",".377",".694","15","8","0.099","0.52","0.100","-0.001","1.1","0","4","2B"
"Jonathan Schoop  2B","1","0","0","0","0","0","1",".218",".255",".329",".584","5","5","0.000","0.01","0.000","0.000","-0.2","0","1",""
"Manny Machado  3B","3","0","1","1","0","2","3",".271",".320",".427",".747","15","10","-0.062","0.56","0.002","-0.064","0.4","0","1",""
"Nick Hundley  PH","1","0","0","0","0","1","1",".248",".266",".361",".627","5","4","0.000","0.00","0.000","0.000","-0.1","","",""
"Ryan Flaherty  2B-SS","4","0","0","0","0","1","4",".220",".291",".340",".631","16","11","-0.053","0.55","0.001","-0.054","-0.4","0","4",""
"Caleb Joseph  C-1B","3","0","0","0","0","1","3",".179",".258",".295",".552","15","8","-0.047","0.61","0.000","-0.047","-1.1","13","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Kevin Gausman  P","","","","","","","","","","","","","","","","","","","0","0",""
"T.J. McFarland  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ryan Webb  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Preston Guilmet  P","","","","","","","","","","","","","","","","","","","0","0",""
