"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dustin Pedroia  2B","5","1","1","0","0","1","5",".287",".356",".414",".770","25","17","-0.076","0.92","0.022","-0.098","-0.5","2","1",""
"Shane Victorino  RF","5","2","3","1","0","1","5",".300",".343",".417",".760","17","11","0.164","0.97","0.185","-0.021","1.9","1","0","3B"
"David Ortiz  DH","5","2","4","4","0","1","5",".294",".390",".544",".934","15","11","0.268","1.51","0.339","-0.071","3.2","","","2·HR"
"Mike Napoli  1B","4","0","0","0","1","2","5",".266",".401",".445",".847","24","12","-0.084","1.73","0.046","-0.130","-0.6","7","1",""
"Grady Sizemore  LF","2","0","1","0","1","0","3",".232",".306",".364",".670","17","9","0.047","0.86","0.067","-0.020","0.4","3","0",""
"Jonny Gomes  PH-LF","0","0","0","1","1","0","1",".225",".326",".400",".726","10","6","0.189","5.73","0.189","0.000","1.0","3","0",""
"A.J. Pierzynski  C","4","0","0","0","0","3","4",".267",".307",".381",".688","25","16","-0.252","2.19","0.000","-0.252","-2.1","7","0","GDP"
"Xander Bogaerts  SS","4","0","1","0","0","1","4",".252",".358",".346",".705","14","11","-0.063","0.96","0.025","-0.088","-0.4","0","4","3B"
"Will Middlebrooks  3B","4","0","0","0","0","2","4",".197",".319",".344",".664","16","10","-0.104","1.02","0.000","-0.104","-0.9","0","2",""
"Jackie Bradley  CF","4","1","1","0","0","1","4",".219",".326",".325",".650","12","8","-0.043","0.62","0.012","-0.055","-0.4","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jake Peavy  P","","","","","","","","","","","","","","","","","","","1","1",""
"Chris Capuano  P","","","","","","","","","","","","","","","","","","","0","0",""
"Craig Breslow  P","","","","","","","","","","","","","","","","","","","0","0",""
"Junichi Tazawa  P","","","","","","","","","","","","","","","","","","","0","1",""
"Andrew Miller  P","","","","","","","","","","","","","","","","","","","0","0",""
