"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Adam Eaton  CF","4","1","1","0","0","2","4",".272",".338",".359",".697","13","9","-0.025","1.33","0.077","-0.102","-0.1","4","0",""
"Gordon Beckham  2B","3","0","0","0","1","1","4",".273",".324",".409",".733","11","5","-0.044","1.36","0.041","-0.085","-0.2","1","3",""
"Conor Gillaspie  3B","4","0","1","2","0","0","4",".335",".383",".440",".823","14","9","0.012","1.60","0.092","-0.080","0.1","1","0",""
"Jose Abreu  1B","4","0","1","0","0","2","4",".268",".320",".602",".922","16","13","-0.021","0.90","0.048","-0.069","-0.3","7","0",""
"Adam Dunn  DH","4","0","0","0","0","1","4",".233",".359",".456",".815","20","14","-0.107","1.10","0.000","-0.107","-0.8","","",""
"Alexei Ramirez  SS","4","0","1","0","0","1","4",".309",".341",".433",".774","17","12","-0.068","0.98","0.023","-0.091","-0.4","1","4","2B"
"Dayan Viciedo  RF","3","0","0","0","0","1","3",".245",".296",".389",".685","9","7","-0.074","0.95","0.000","-0.074","-0.6","2","0",""
"Alejandro De Aza  LF","3","1","2","0","0","0","3",".213",".285",".347",".632","10","8","0.096","1.15","0.115","-0.020","0.8","2","0","SB"
"Tyler Flowers  C","3","0","0","0","0","1","3",".244",".308",".347",".655","10","9","-0.130","1.86","0.000","-0.130","-0.9","6","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jose Quintana  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jake Petricka  P","","","","","","","","","","","","","","","","","","","0","0",""
