"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Gordon Beckham  2B","4","2","3","1","0","0","4",".266",".310",".418",".727","18","12","0.166","0.92","0.183","-0.017","1.2","1","5","HR"
"Conor Gillaspie  3B","4","1","3","0","0","0","4",".333",".379",".429",".808","14","9","0.121","1.32","0.173","-0.051","0.3","1","2","2B"
"Jose Abreu  DH","4","1","1","3","0","2","4",".271",".320",".620",".941","14","10","0.385","1.90","0.460","-0.075","1.5","","","HR"
"Dayan Viciedo  LF","3","0","1","0","0","0","4",".295",".357",".468",".825","10","8","0.031","0.69","0.064","-0.033","0.3","2","0","2B,HBP"
"Leury Garcia  CF","0","0","0","0","0","0","0",".225",".279",".300",".579","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Alexei Ramirez  SS","4","0","0","0","0","0","4",".319",".349",".479",".827","21","13","-0.092","0.94","0.000","-0.092","-0.8","1","3",""
"Paul Konerko  1B","4","0","0","0","0","0","4",".217",".269",".348",".617","15","12","-0.106","1.09","0.000","-0.106","-0.9","10","2",""
"Tyler Flowers  C","4","0","0","0","0","3","4",".313",".363",".400",".763","18","14","-0.077","0.76","0.000","-0.077","-0.6","5","0",""
"Moises Sierra  RF","4","0","1","0","0","0","4",".175",".188",".238",".426","16","11","-0.054","0.56","0.008","-0.062","-0.2","2","0",""
"Alejandro De Aza  CF-LF","4","0","0","0","0","2","4",".184",".237",".305",".542","16","13","-0.110","1.11","0.000","-0.110","-0.9","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Andre Rienzo  P","","","","","","","","","","","","","","","","","","","2","0",""
"Scott Downs  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ronald Belisario  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Lindstrom  P","","","","","","","","","","","","","","","","","","","0","0",""
