"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alejandro De Aza  LF","4","0","1","0","1","2","5",".244",".312",".355",".667","26","15","-0.197","1.28","0.045","-0.242","-0.8","1","0",""
"Gordon Beckham  2B","5","0","1","1","0","0","5",".220",".264",".342",".607","11","8","0.281","1.54","0.347","-0.066","0.2","4","2",""
"Jose Abreu  1B","5","1","0","0","0","2","5",".300",".358",".602",".960","15","12","-0.078","0.66","0.000","-0.078","-1.0","5","0",""
"Adam Dunn  RF","3","1","1","2","0","1","3",".221",".346",".433",".779","12","9","0.183","0.61","0.207","-0.025","1.6","1","0","HR"
"Paul Konerko  PH","1","0","0","0","0","1","1",".235",".276",".370",".646","3","3","-0.006","0.23","0.000","-0.006","-0.2","","",""
"Jake Petricka  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Zach Putnam  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Alexei Ramirez  SS","3","0","0","0","1","0","4",".289",".323",".420",".743","13","9","-0.001","0.28","0.017","-0.018","-0.1","3","3",""
"Conor Gillaspie  3B","4","0","1","0","0","0","4",".312",".361",".451",".812","20","13","0.039","0.52","0.074","-0.034","0.4","0","0","3B"
"Tyler Flowers  C","3","0","0","0","0","1","4",".248",".307",".376",".684","16","9","-0.088","0.98","0.014","-0.102","-0.6","13","1","HBP"
"Jordan Danks  CF","3","0","0","0","1","1","4",".122",".246",".204",".450","15","7","-0.012","1.01","0.057","-0.069","-0.7","3","0",""
"Chris Sale  P","3","0","0","0","0","2","3",".000",".000",".000",".000","14","10","-0.057","0.74","0.000","-0.057","-0.7","0","1",""
"Moises Sierra  RF","1","1","1","0","0","0","1",".238",".266",".347",".613","6","3","0.221","4.25","0.221","0.000","0.9","0","0","SB"
