"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alexei Ramirez  SS","4","1","1","2","0","1","4",".276",".307",".413",".720","15","10","-0.026","0.32","0.004","-0.031","0.8","0","0","2B"
"Leury Garcia  SS","1","0","0","0","0","0","1",".170",".197",".213",".410","3","2","0.000","0.01","0.000","0.000","-0.2","0","0",""
"Carlos Sanchez  2B","4","0","1","0","1","1","5",".253",".267",".287",".554","34","21","-0.019","0.22","0.004","-0.023","-0.3","1","4",""
"Jose Abreu  DH","4","0","1","1","0","0","4",".319",".385",".589",".974","12","8","-0.021","0.23","0.001","-0.023","0.4","","",""
"Adrian Nieto  PH","1","0","0","0","0","1","1",".243",".304",".350",".653","5","3","0.000","0.02","0.000","0.000","-0.3","","",""
"Avisail Garcia  RF","5","2","3","2","0","0","5",".267",".333",".460",".793","9","7","0.140","0.26","0.144","-0.004","1.9","4","0","2·HR"
"Dayan Viciedo  LF","2","2","1","0","0","0","3",".233",".282",".408",".690","9","6","0.030","0.41","0.038","-0.007","0.5","1","0","HBP"
"Moises Sierra  LF","0","0","0","0","2","0","2",".229",".265",".333",".599","11","3","0.001","0.01","0.001","0.000","0.7","2","1",""
"Jordan Danks  CF","4","2","2","0","1","1","5",".218",".304",".297",".601","18","9","0.108","0.37","0.109","-0.001","0.9","1","0","SB"
"Marcus Semien  3B","5","2","2","3","0","0","5",".234",".298",".364",".662","18","13","0.126","0.43","0.138","-0.012","1.7","0","2","HR"
"Andy Wilkins  1B","4","1","1","1","1","3","5",".100",".143",".125",".268","28","17","-0.013","0.20","0.008","-0.021","0.6","10","0",""
"Josh Phegley  C","5","0","0","1","0","2","5",".087",".083",".130",".214","17","14","-0.012","0.09","0.002","-0.014","-0.8","8","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"John Danks  P","","","","","","","","","","","","","","","","","","","0","1",""
"Matt Lindstrom  P","","","","","","","","","","","","","","","","","","","0","0",""
"Eric Surkamp  P","","","","","","","","","","","","","","","","","","","0","2",""
"Daniel Webb  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Snodgress  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ronald Belisario  P","","","","","","","","","","","","","","","","","","","0","0",""
